sample_id,bile_acids,scfa,tryptophan_metabolism
S1,0.7979,0.2301,0.5348
S2,0.8675,0.4192,0.5612
S3,0.7785,0.3914,0.5143
S4,0.4897,0.5564,0.5254
S5,0.1127,0.6588,0.4585
S6,0.7141,0.4971,0.6071
S7,0.6591,0.2796,0.4623
S8,0.8742,0.3964,0.5231
S9,0.6262,0.3746,0.8015
S10,0.6783,0.4673,0.9544
S11,0.4999,0.3453,0.4389
S12,0.6079,0.6691,0.2962
S13,0.5072,0.9833,0.3403
S14,0.4546,0.6023,0.4729
S15,0.6539,0.0916,0.8289
S16,0.5333,0.5334,0.3757
S17,0.683,0.6136,0.4027
S18,0.7702,0.2267,0.6352
S19,0.4648,0.3247,0.6732
S20,0.9497,0.4074,0.6514
S21,0.6805,0.475,0.4552
S22,0.4805,0.431,0.6722
S23,0.7365,0.2992,0.5111
S24,0.8375,0.7345,0.5388
S25,0.4852,0.3636,0.8101
S26,0.4874,0.3384,0.6517
S27,0.3746,0.2059,0.663
S28,0.7205,0.3626,0.8703
S29,0.7618,0.8452,0.6351
S30,0.5745,0.4425,0.3897
S31,0.7296,0.6132,0.516
S32,0.7191,0.128,0.6779
S33,0.8987,0.5822,0.5136
S34,0.6709,0.4805,0.404
S35,0.5224,0.6202,0.1875
S36,0.8168,0.2242,0.8032
S37,0.3512,0.5525,0.5504
S38,0.2937,0.6439,0.286
S39,0.9441,0.2552,0.5084
S40,0.595,0.38,0.3583
S41,0.4153,0.7144,0.4522
S42,0.6629,0.2107,0.8345
S43,0.2629,0.5579,0.3853
S44,0.3235,0.3678,0.2461
S45,0.4461,0.5805,0.8263
S46,0.5413,0.3647,0.3317
S47,0.6693,0.5523,0.7328
S48,0.4044,0.5507,0.5212
S49,0.6643,0.6277,0.5866
S50,0.6407,0.5709,0.512
S51,0.7864,0.4536,0.7414
S52,0.8644,0.3912,0.7474
S53,0.2971,0.2295,0.6281
S54,0.4917,0.2709,0.628
S55,0.5455,0.3576,0.7059
S56,0.8306,0.4943,0.5316
S57,0.9272,0.0583,0.8836
S58,0.4663,0.2673,0.57
S59,0.6276,0.4479,0.4997
S60,0.5924,0.1099,0.2673
S61,0.6938,0.5203,0.6804
S62,0.6837,0.4979,0.6908
S63,0.996,0.4217,0.6238
S64,0.7721,0.2897,0.502
S65,0.9705,0.1029,0.6488
S66,0.8098,0.6739,0.8495
S67,0.6124,0.7152,0.5441
S68,0.4883,0.7503,0.2985
S69,0.5847,0.6241,0.3132
S70,0.6913,0.4643,0.5315
S71,0.3385,0.5887,0.2484
S72,0.2118,0.4651,0.645
S73,1.0,0.1529,0.4615
S74,0.6956,0.311,0.4691
S75,0.4589,0.4597,0.7662
