sample_id,node_name,src,dst,abundance,function_score,edge_weight
S1,Fusobacterium,Fusobacterium,Porphyromonas,0.41650000,0.58193122,0.18508275
S1,Porphyromonas,Fusobacterium,Prevotella,0.68160000,0.67789481,0.19675966
S1,Prevotella,Fusobacterium,Streptococcus,0.47125964,0.49760790,0.39225846
S1,Streptococcus,Fusobacterium,Lactobacillus,0.50619861,0.55590606,0.13006818
S1,Lactobacillus,Porphyromonas,Prevotella,0.16737822,0.29536033,0.28124550
S1,Fusobacterium,Porphyromonas,Streptococcus,0.41650000,0.58193122,0.32484243
S1,Porphyromonas,Porphyromonas,Lactobacillus,0.68160000,0.67789481,0.10700926
S1,Prevotella,Prevotella,Streptococcus,0.47125964,0.49760790,0.38215889
S1,Streptococcus,Prevotella,Lactobacillus,0.50619861,0.55590606,0.19241425
S1,Lactobacillus,Streptococcus,Lactobacillus,0.16737822,0.29536033,0.38532810
S2,Fusobacterium,Fusobacterium,Porphyromonas,0.32208161,0.50484151,0.19674339
S2,Porphyromonas,Fusobacterium,Prevotella,0.58100000,0.61706919,0.11787730
S2,Prevotella,Fusobacterium,Streptococcus,0.18916675,0.43143142,0.44519268
S2,Streptococcus,Fusobacterium,Lactobacillus,0.68173156,0.61140135,0.17614292
S2,Lactobacillus,Porphyromonas,Prevotella,0.47414622,0.46743914,0.29088757
S2,Fusobacterium,Porphyromonas,Streptococcus,0.32208161,0.50484151,0.31164502
S2,Porphyromonas,Porphyromonas,Lactobacillus,0.58100000,0.61706919,0.16337844
S2,Prevotella,Prevotella,Streptococcus,0.18916675,0.43143142,0.47699626
S2,Streptococcus,Prevotella,Lactobacillus,0.68173156,0.61140135,0.17002232
S2,Lactobacillus,Streptococcus,Lactobacillus,0.47414622,0.46743914,0.37858147
S3,Fusobacterium,Fusobacterium,Porphyromonas,0.41027094,0.54542643,0.18576889
S3,Porphyromonas,Fusobacterium,Prevotella,0.67250000,0.65320979,0.16956170
S3,Prevotella,Fusobacterium,Streptococcus,0.31508436,0.48999546,0.43344889
S3,Streptococcus,Fusobacterium,Lactobacillus,0.70905011,0.63435025,0.17606600
S3,Lactobacillus,Porphyromonas,Prevotella,0.46599422,0.44380378,0.30867092
S3,Fusobacterium,Porphyromonas,Streptococcus,0.41027094,0.54542643,0.28112452
S3,Porphyromonas,Porphyromonas,Lactobacillus,0.67250000,0.65320979,0.16085247
S3,Prevotella,Prevotella,Streptococcus,0.31508436,0.48999546,0.45323448
S3,Streptococcus,Prevotella,Lactobacillus,0.70905011,0.63435025,0.16957691
S3,Lactobacillus,Streptococcus,Lactobacillus,0.46599422,0.44380378,0.37581818
S4,Fusobacterium,Fusobacterium,Porphyromonas,0.32702511,0.50114720,0.25215558
S4,Porphyromonas,Fusobacterium,Prevotella,0.34427903,0.50900219,0.17930772
S4,Prevotella,Fusobacterium,Streptococcus,0.42696744,0.46608084,0.43360077
S4,Streptococcus,Fusobacterium,Lactobacillus,0.64660000,0.57818461,0.20072353
S4,Lactobacillus,Porphyromonas,Prevotella,0.59166278,0.52964738,0.24147343
S4,Fusobacterium,Porphyromonas,Streptococcus,0.32702511,0.50114720,0.36147031
S4,Porphyromonas,Porphyromonas,Lactobacillus,0.34427903,0.50900219,0.14327606
S4,Prevotella,Prevotella,Streptococcus,0.42696744,0.46608084,0.40703756
S4,Streptococcus,Prevotella,Lactobacillus,0.64660000,0.57818461,0.15107832
S4,Lactobacillus,Streptococcus,Lactobacillus,0.59166278,0.52964738,0.40014997
S5,Fusobacterium,Fusobacterium,Porphyromonas,0.56710000,0.66010203,0.20708870
S5,Porphyromonas,Fusobacterium,Prevotella,0.57956100,0.60160599,0.20506687
S5,Prevotella,Fusobacterium,Streptococcus,0.33256344,0.45874523,0.39554494
S5,Streptococcus,Fusobacterium,Lactobacillus,0.64840000,0.62043524,0.18032415
S5,Lactobacillus,Porphyromonas,Prevotella,0.62022872,0.51925579,0.28000683
S5,Fusobacterium,Porphyromonas,Streptococcus,0.56710000,0.66010203,0.31438246
S5,Porphyromonas,Porphyromonas,Lactobacillus,0.57956100,0.60160599,0.16996469
S5,Prevotella,Prevotella,Streptococcus,0.33256344,0.45874523,0.42819832
S5,Streptococcus,Prevotella,Lactobacillus,0.64840000,0.62043524,0.13289510
S5,Lactobacillus,Streptococcus,Lactobacillus,0.62022872,0.51925579,0.40566260
S6,Fusobacterium,Fusobacterium,Porphyromonas,0.06158347,0.45328688,0.18138248
S6,Porphyromonas,Fusobacterium,Prevotella,0.57448206,0.63492769,0.06430715
S6,Prevotella,Fusobacterium,Streptococcus,0.10528106,0.43655984,0.53711694
S6,Streptococcus,Fusobacterium,Lactobacillus,0.89471167,0.62597786,0.32288976
S6,Lactobacillus,Porphyromonas,Prevotella,0.97193167,0.64406201,0.29561427
S6,Fusobacterium,Porphyromonas,Streptococcus,0.06158347,0.45328688,0.29445573
S6,Porphyromonas,Porphyromonas,Lactobacillus,0.57448206,0.63492769,0.19836203
S6,Prevotella,Prevotella,Streptococcus,0.10528106,0.43655984,0.52652735
S6,Streptococcus,Prevotella,Lactobacillus,0.89471167,0.62597786,0.02010845
S6,Lactobacillus,Streptococcus,Lactobacillus,0.97193167,0.64406201,0.52560870
S7,Fusobacterium,Fusobacterium,Porphyromonas,0.50043133,0.58037177,0.21487553
S7,Porphyromonas,Fusobacterium,Prevotella,0.43363044,0.52712390,0.22863747
S7,Prevotella,Fusobacterium,Streptococcus,0.77663017,0.68812659,0.37834829
S7,Streptococcus,Fusobacterium,Lactobacillus,0.34928064,0.39698691,0.14722444
S7,Lactobacillus,Porphyromonas,Prevotella,0.10977944,0.34677255,0.30262915
S7,Fusobacterium,Porphyromonas,Streptococcus,0.50043133,0.58037177,0.29831408
S7,Porphyromonas,Porphyromonas,Lactobacillus,0.43363044,0.52712390,0.21476165
S7,Prevotella,Prevotella,Streptococcus,0.77663017,0.68812659,0.45021266
S7,Streptococcus,Prevotella,Lactobacillus,0.34928064,0.39698691,0.05043840
S7,Lactobacillus,Streptococcus,Lactobacillus,0.10977944,0.34677255,0.47497902
S8,Fusobacterium,Fusobacterium,Porphyromonas,0.70052697,0.71021962,0.20202039
S8,Porphyromonas,Fusobacterium,Prevotella,0.48995669,0.59163868,0.18239652
S8,Prevotella,Fusobacterium,Streptococcus,0.71731747,0.69050446,0.41486691
S8,Streptococcus,Fusobacterium,Lactobacillus,0.37610000,0.42007780,0.22319891
S8,Lactobacillus,Porphyromonas,Prevotella,0.14649139,0.28694532,0.27960282
S8,Fusobacterium,Porphyromonas,Streptococcus,0.70052697,0.71021962,0.31385970
S8,Porphyromonas,Porphyromonas,Lactobacillus,0.48995669,0.59163868,0.18386681
S8,Prevotella,Prevotella,Streptococcus,0.71731747,0.69050446,0.42469867
S8,Streptococcus,Prevotella,Lactobacillus,0.37610000,0.42007780,0.08294817
S8,Lactobacillus,Streptococcus,Lactobacillus,0.14649139,0.28694532,0.45221473
S9,Fusobacterium,Fusobacterium,Porphyromonas,0.61973989,0.64397515,0.21872217
S9,Porphyromonas,Fusobacterium,Prevotella,0.78781031,0.71307624,0.21470098
S9,Prevotella,Fusobacterium,Streptococcus,0.37118450,0.48268352,0.39824397
S9,Streptococcus,Fusobacterium,Lactobacillus,0.42003583,0.47914360,0.18302037
S9,Lactobacillus,Porphyromonas,Prevotella,0.37381917,0.42216258,0.32639978
S9,Fusobacterium,Porphyromonas,Streptococcus,0.61973989,0.64397515,0.36189127
S9,Porphyromonas,Porphyromonas,Lactobacillus,0.78781031,0.71307624,0.13036615
S9,Prevotella,Prevotella,Streptococcus,0.37118450,0.48268352,0.35787188
S9,Streptococcus,Prevotella,Lactobacillus,0.42003583,0.47914360,0.18571829
S9,Lactobacillus,Streptococcus,Lactobacillus,0.37381917,0.42216258,0.39576506
S10,Fusobacterium,Fusobacterium,Porphyromonas,0.49547567,0.61680411,0.20644580
S10,Porphyromonas,Fusobacterium,Prevotella,0.55090000,0.62713985,0.20590544
S10,Prevotella,Fusobacterium,Streptococcus,0.51835108,0.53375040,0.39422024
S10,Streptococcus,Fusobacterium,Lactobacillus,0.51959294,0.55827470,0.16225323
S10,Lactobacillus,Porphyromonas,Prevotella,0.25892967,0.34152657,0.26885026
S10,Fusobacterium,Porphyromonas,Streptococcus,0.49547567,0.61680411,0.32308882
S10,Porphyromonas,Porphyromonas,Lactobacillus,0.55090000,0.62713985,0.16027511
S10,Prevotella,Prevotella,Streptococcus,0.51835108,0.53375040,0.38312784
S10,Streptococcus,Prevotella,Lactobacillus,0.51959294,0.55827470,0.16954079
S10,Lactobacillus,Streptococcus,Lactobacillus,0.25892967,0.34152657,0.37970883
S11,Fusobacterium,Fusobacterium,Porphyromonas,0.24772261,0.45060786,0.26401002
S11,Porphyromonas,Fusobacterium,Prevotella,0.35484153,0.52423256,0.18610144
S11,Prevotella,Fusobacterium,Streptococcus,0.47690000,0.54592060,0.49033790
S11,Streptococcus,Fusobacterium,Lactobacillus,0.76790644,0.62627811,0.27573853
S11,Lactobacillus,Porphyromonas,Prevotella,0.83045822,0.66751927,0.25439032
S11,Fusobacterium,Porphyromonas,Streptococcus,0.24772261,0.45060786,0.39333181
S11,Porphyromonas,Porphyromonas,Lactobacillus,0.35484153,0.52423256,0.09388803
S11,Prevotella,Prevotella,Streptococcus,0.47690000,0.54592060,0.41036874
S11,Streptococcus,Prevotella,Lactobacillus,0.76790644,0.62627811,0.13656611
S11,Lactobacillus,Streptococcus,Lactobacillus,0.83045822,0.66751927,0.49397420
S12,Fusobacterium,Fusobacterium,Porphyromonas,0.91770000,0.71042734,0.28214033
S12,Porphyromonas,Fusobacterium,Prevotella,0.70000000,0.67464159,0.31794071
S12,Prevotella,Fusobacterium,Streptococcus,0.27324625,0.51205825,0.25856342
S12,Streptococcus,Fusobacterium,Lactobacillus,0.84592244,0.62900487,0.13725644
S12,Lactobacillus,Porphyromonas,Prevotella,0.58933144,0.51618240,0.32642712
S12,Fusobacterium,Porphyromonas,Streptococcus,0.91770000,0.71042734,0.23390378
S12,Porphyromonas,Porphyromonas,Lactobacillus,0.70000000,0.67464159,0.18203515
S12,Prevotella,Prevotella,Streptococcus,0.27324625,0.51205825,0.50626140
S12,Streptococcus,Prevotella,Lactobacillus,0.84592244,0.62900487,0.13252862
S12,Lactobacillus,Streptococcus,Lactobacillus,0.58933144,0.51618240,0.43363225
S13,Fusobacterium,Fusobacterium,Porphyromonas,0.34625728,0.56828418,0.26066476
S13,Porphyromonas,Fusobacterium,Prevotella,0.29002917,0.43384417,0.23793266
S13,Prevotella,Fusobacterium,Streptococcus,0.66369600,0.65759827,0.43949198
S13,Streptococcus,Fusobacterium,Lactobacillus,0.67881628,0.57827974,0.30296371
S13,Lactobacillus,Porphyromonas,Prevotella,0.97937083,0.63470124,0.30960939
S13,Fusobacterium,Porphyromonas,Streptococcus,0.34625728,0.56828418,0.38429083
S13,Porphyromonas,Porphyromonas,Lactobacillus,0.29002917,0.43384417,0.02799803
S13,Prevotella,Prevotella,Streptococcus,0.66369600,0.65759827,0.34760559
S13,Streptococcus,Prevotella,Lactobacillus,0.67881628,0.57827974,0.27266187
S13,Lactobacillus,Streptococcus,Lactobacillus,0.97937083,0.63470124,0.51241846
S14,Fusobacterium,Fusobacterium,Porphyromonas,0.66843186,0.67741813,0.21286933
S14,Porphyromonas,Fusobacterium,Prevotella,0.59673786,0.60577879,0.19743716
S14,Prevotella,Fusobacterium,Streptococcus,0.64202817,0.65830382,0.40832897
S14,Streptococcus,Fusobacterium,Lactobacillus,0.38177469,0.45553519,0.21738770
S14,Lactobacillus,Porphyromonas,Prevotella,0.10937956,0.28888798,0.26028816
S14,Fusobacterium,Porphyromonas,Streptococcus,0.66843186,0.67741813,0.33512106
S14,Porphyromonas,Porphyromonas,Lactobacillus,0.59673786,0.60577879,0.13271682
S14,Prevotella,Prevotella,Streptococcus,0.64202817,0.65830382,0.40552742
S14,Streptococcus,Prevotella,Lactobacillus,0.38177469,0.45553519,0.10665034
S14,Lactobacillus,Streptococcus,Lactobacillus,0.10937956,0.28888798,0.46033191
S15,Fusobacterium,Fusobacterium,Porphyromonas,0.46815244,0.55652671,0.21240841
S15,Porphyromonas,Fusobacterium,Prevotella,0.48785697,0.59625042,0.22009104
S15,Prevotella,Fusobacterium,Streptococcus,0.64850000,0.68089049,0.39271096
S15,Streptococcus,Fusobacterium,Lactobacillus,0.50630000,0.52632892,0.19152567
S15,Lactobacillus,Porphyromonas,Prevotella,0.62540000,0.52979937,0.27534998
S15,Fusobacterium,Porphyromonas,Streptococcus,0.46815244,0.55652671,0.32271493
S15,Porphyromonas,Porphyromonas,Lactobacillus,0.48785697,0.59625042,0.15715330
S15,Prevotella,Prevotella,Streptococcus,0.64850000,0.68089049,0.38423924
S15,Streptococcus,Prevotella,Lactobacillus,0.50630000,0.52632892,0.18165381
S15,Lactobacillus,Streptococcus,Lactobacillus,0.62540000,0.52979937,0.38037420
S16,Fusobacterium,Fusobacterium,Porphyromonas,0.61470278,0.69192118,0.21606307
S16,Porphyromonas,Fusobacterium,Prevotella,0.76131297,0.70994285,0.20832832
S16,Prevotella,Fusobacterium,Streptococcus,0.51760272,0.62640175,0.39399229
S16,Streptococcus,Fusobacterium,Lactobacillus,0.50509911,0.56251659,0.16953038
S16,Lactobacillus,Porphyromonas,Prevotella,0.77273742,0.57736441,0.27501111
S16,Fusobacterium,Porphyromonas,Streptococcus,0.61470278,0.69192118,0.32629598
S16,Porphyromonas,Porphyromonas,Lactobacillus,0.76131297,0.70994285,0.23762908
S16,Prevotella,Prevotella,Streptococcus,0.51760272,0.62640175,0.38265791
S16,Streptococcus,Prevotella,Lactobacillus,0.50509911,0.56251659,0.15670373
S16,Lactobacillus,Streptococcus,Lactobacillus,0.77273742,0.57736441,0.37823525
S17,Fusobacterium,Fusobacterium,Porphyromonas,0.98850197,0.76254624,0.35142753
S17,Porphyromonas,Fusobacterium,Prevotella,0.92590225,0.70561331,0.33902630
S17,Prevotella,Fusobacterium,Streptococcus,0.32714733,0.45470278,0.53734382
S17,Streptococcus,Fusobacterium,Lactobacillus,0.16509333,0.40250608,0.31404804
S17,Lactobacillus,Porphyromonas,Prevotella,0.22380000,0.30668858,0.38464887
S17,Fusobacterium,Porphyromonas,Streptococcus,0.98850197,0.76254624,0.46528317
S17,Porphyromonas,Porphyromonas,Lactobacillus,0.92590225,0.70561331,0.04214722
S17,Prevotella,Prevotella,Streptococcus,0.32714733,0.45470278,0.27298445
S17,Streptococcus,Prevotella,Lactobacillus,0.16509333,0.40250608,0.23052018
S17,Lactobacillus,Streptococcus,Lactobacillus,0.22380000,0.30668858,0.49782070
S18,Fusobacterium,Fusobacterium,Porphyromonas,0.37940000,0.50459709,0.18201799
S18,Porphyromonas,Fusobacterium,Prevotella,0.67097425,0.67548011,0.16459021
S18,Prevotella,Fusobacterium,Streptococcus,0.32378278,0.44337071,0.43069589
S18,Streptococcus,Fusobacterium,Lactobacillus,0.66957067,0.58019530,0.20019392
S18,Lactobacillus,Porphyromonas,Prevotella,0.61692933,0.53469830,0.30658555
S18,Fusobacterium,Porphyromonas,Streptococcus,0.37940000,0.50459709,0.29041496
S18,Porphyromonas,Porphyromonas,Lactobacillus,0.67097425,0.67548011,0.18266419
S18,Prevotella,Prevotella,Streptococcus,0.32378278,0.44337071,0.43741265
S18,Streptococcus,Prevotella,Lactobacillus,0.66957067,0.58019530,0.13230184
S18,Lactobacillus,Streptococcus,Lactobacillus,0.61692933,0.53469830,0.40891176
S19,Fusobacterium,Fusobacterium,Porphyromonas,0.79771497,0.74164899,0.28386305
S19,Porphyromonas,Fusobacterium,Prevotella,0.82913933,0.71637254,0.22667024
S19,Prevotella,Fusobacterium,Streptococcus,0.46436083,0.49813329,0.44195427
S19,Streptococcus,Fusobacterium,Lactobacillus,0.35200000,0.42359668,0.20443165
S19,Lactobacillus,Porphyromonas,Prevotella,0.36926047,0.38308161,0.30079423
S19,Fusobacterium,Porphyromonas,Streptococcus,0.79771497,0.74164899,0.40024756
S19,Porphyromonas,Porphyromonas,Lactobacillus,0.82913933,0.71637254,0.12141664
S19,Prevotella,Prevotella,Streptococcus,0.46436083,0.49813329,0.36360262
S19,Streptococcus,Prevotella,Lactobacillus,0.35200000,0.42359668,0.17391454
S19,Lactobacillus,Streptococcus,Lactobacillus,0.36926047,0.38308161,0.40736972
S20,Fusobacterium,Fusobacterium,Porphyromonas,0.80160000,0.78730559,0.19815530
S20,Porphyromonas,Fusobacterium,Prevotella,0.49745544,0.60220647,0.16680130
S20,Prevotella,Fusobacterium,Streptococcus,0.68692133,0.67483471,0.48081799
S20,Streptococcus,Fusobacterium,Lactobacillus,0.22248728,0.36394594,0.26534457
S20,Lactobacillus,Porphyromonas,Prevotella,0.13067144,0.31436170,0.27606858
S20,Fusobacterium,Porphyromonas,Streptococcus,0.80160000,0.78730559,0.30501089
S20,Porphyromonas,Porphyromonas,Lactobacillus,0.49745544,0.60220647,0.18196301
S20,Prevotella,Prevotella,Streptococcus,0.68692133,0.67483471,0.45668350
S20,Streptococcus,Prevotella,Lactobacillus,0.22248728,0.36394594,0.09107095
S20,Lactobacillus,Streptococcus,Lactobacillus,0.13067144,0.31436170,0.50738043
S21,Fusobacterium,Fusobacterium,Porphyromonas,0.06259022,0.43407435,0.32560781
S21,Porphyromonas,Fusobacterium,Prevotella,0.30268425,0.49520574,0.06893871
S21,Prevotella,Fusobacterium,Streptococcus,0.20090000,0.43448991,0.52314830
S21,Streptococcus,Fusobacterium,Lactobacillus,0.73663833,0.60529333,0.21897384
S21,Lactobacillus,Porphyromonas,Prevotella,0.55521000,0.51993095,0.17231297
S21,Fusobacterium,Porphyromonas,Streptococcus,0.06259022,0.43407435,0.40038357
S21,Porphyromonas,Porphyromonas,Lactobacillus,0.30268425,0.49520574,0.14737088
S21,Prevotella,Prevotella,Streptococcus,0.20090000,0.43448991,0.49410624
S21,Streptococcus,Prevotella,Lactobacillus,0.73663833,0.60529333,0.13574742
S21,Lactobacillus,Streptococcus,Lactobacillus,0.55521000,0.51993095,0.40274932
S22,Fusobacterium,Fusobacterium,Porphyromonas,0.73000000,0.74801808,0.24445787
S22,Porphyromonas,Fusobacterium,Prevotella,0.75725333,0.69761843,0.24045844
S22,Prevotella,Fusobacterium,Streptococcus,0.34276061,0.50662546,0.31253607
S22,Streptococcus,Fusobacterium,Lactobacillus,0.87473042,0.60331933,0.20798032
S22,Lactobacillus,Porphyromonas,Prevotella,0.28594472,0.31414251,0.32668456
S22,Fusobacterium,Porphyromonas,Streptococcus,0.73000000,0.74801808,0.20429434
S22,Porphyromonas,Porphyromonas,Lactobacillus,0.75725333,0.69761843,0.11231620
S22,Prevotella,Prevotella,Streptococcus,0.34276061,0.50662546,0.49509638
S22,Streptococcus,Prevotella,Lactobacillus,0.87473042,0.60331933,0.21029458
S22,Lactobacillus,Streptococcus,Lactobacillus,0.28594472,0.31414251,0.27757763
S23,Fusobacterium,Fusobacterium,Porphyromonas,0.74094294,0.70294674,0.30309959
S23,Porphyromonas,Fusobacterium,Prevotella,0.94972667,0.74116221,0.27173943
S23,Prevotella,Fusobacterium,Streptococcus,0.20138850,0.44497436,0.41667906
S23,Streptococcus,Fusobacterium,Lactobacillus,0.40425361,0.46060013,0.21795624
S23,Lactobacillus,Porphyromonas,Prevotella,0.24293650,0.36082931,0.40959384
S23,Fusobacterium,Porphyromonas,Streptococcus,0.74094294,0.70294674,0.41665332
S23,Porphyromonas,Porphyromonas,Lactobacillus,0.94972667,0.74116221,0.03890745
S23,Prevotella,Prevotella,Streptococcus,0.20138850,0.44497436,0.32054777
S23,Streptococcus,Prevotella,Lactobacillus,0.40425361,0.46060013,0.25933604
S23,Lactobacillus,Streptococcus,Lactobacillus,0.24293650,0.36082931,0.41940626
S24,Fusobacterium,Fusobacterium,Porphyromonas,0.52816017,0.63750422,0.18950822
S24,Porphyromonas,Fusobacterium,Prevotella,0.84821106,0.72246697,0.19411369
S24,Prevotella,Fusobacterium,Streptococcus,0.28568783,0.46656602,0.39508675
S24,Streptococcus,Fusobacterium,Lactobacillus,0.53814208,0.52449727,0.17643377
S24,Lactobacillus,Porphyromonas,Prevotella,0.42496153,0.44006902,0.37196585
S24,Fusobacterium,Porphyromonas,Streptococcus,0.52816017,0.63750422,0.30921117
S24,Porphyromonas,Porphyromonas,Lactobacillus,0.84821106,0.72246697,0.13913643
S24,Prevotella,Prevotella,Streptococcus,0.28568783,0.46656602,0.39336117
S24,Streptococcus,Prevotella,Lactobacillus,0.53814208,0.52449727,0.18256448
S24,Lactobacillus,Streptococcus,Lactobacillus,0.42496153,0.44006902,0.37966205
S25,Fusobacterium,Fusobacterium,Porphyromonas,0.39800000,0.56783619,0.25703437
S25,Porphyromonas,Fusobacterium,Prevotella,0.24797889,0.39274921,0.27641306
S25,Prevotella,Fusobacterium,Streptococcus,0.86060828,0.66367816,0.35242882
S25,Streptococcus,Fusobacterium,Lactobacillus,0.32013944,0.43403547,0.19928373
S25,Lactobacillus,Porphyromonas,Prevotella,0.62420000,0.55773821,0.38488492
S25,Fusobacterium,Porphyromonas,Streptococcus,0.39800000,0.56783619,0.24240673
S25,Porphyromonas,Porphyromonas,Lactobacillus,0.24797889,0.39274921,0.12136797
S25,Prevotella,Prevotella,Streptococcus,0.86060828,0.66367816,0.48762346
S25,Streptococcus,Prevotella,Lactobacillus,0.32013944,0.43403547,0.22399292
S25,Lactobacillus,Streptococcus,Lactobacillus,0.62420000,0.55773821,0.34629408
S26,Fusobacterium,Fusobacterium,Porphyromonas,0.70722606,0.71312539,0.22057173
S26,Porphyromonas,Fusobacterium,Prevotella,0.63573069,0.63179078,0.21794731
S26,Prevotella,Fusobacterium,Streptococcus,0.46352217,0.51788846,0.38691177
S26,Streptococcus,Fusobacterium,Lactobacillus,0.55480000,0.55649363,0.19835301
S26,Lactobacillus,Porphyromonas,Prevotella,0.32360067,0.35513779,0.27801045
S26,Fusobacterium,Porphyromonas,Streptococcus,0.70722606,0.71312539,0.31705428
S26,Porphyromonas,Porphyromonas,Lactobacillus,0.63573069,0.63179078,0.14626315
S26,Prevotella,Prevotella,Streptococcus,0.46352217,0.51788846,0.38785016
S26,Streptococcus,Prevotella,Lactobacillus,0.55480000,0.55649363,0.17816689
S26,Lactobacillus,Streptococcus,Lactobacillus,0.32360067,0.35513779,0.37249872
S27,Fusobacterium,Fusobacterium,Porphyromonas,0.68730000,0.70508895,0.20838376
S27,Porphyromonas,Fusobacterium,Prevotella,0.54400000,0.60112796,0.20256666
S27,Prevotella,Fusobacterium,Streptococcus,0.58099167,0.61910322,0.39688876
S27,Streptococcus,Fusobacterium,Lactobacillus,0.48935286,0.53354131,0.18284426
S27,Lactobacillus,Porphyromonas,Prevotella,0.44739533,0.37661209,0.26806631
S27,Fusobacterium,Porphyromonas,Streptococcus,0.68730000,0.70508895,0.32349085
S27,Porphyromonas,Porphyromonas,Lactobacillus,0.54400000,0.60112796,0.16368171
S27,Prevotella,Prevotella,Streptococcus,0.58099167,0.61910322,0.38458549
S27,Streptococcus,Prevotella,Lactobacillus,0.48935286,0.53354131,0.16206806
S27,Lactobacillus,Streptococcus,Lactobacillus,0.44739533,0.37661209,0.38293425
S28,Fusobacterium,Fusobacterium,Porphyromonas,0.58194556,0.65363347,0.20741709
S28,Porphyromonas,Fusobacterium,Prevotella,0.48721411,0.59036726,0.20757564
S28,Prevotella,Fusobacterium,Streptococcus,0.53460000,0.55221669,0.39382348
S28,Streptococcus,Fusobacterium,Lactobacillus,0.46215883,0.51933036,0.18021903
