sample_id,bile_acids,scfa,tryptophan_metabolism
S1,0.81987162,0.43085691,0.56743077
S2,0.33391551,0.65000616,0.50923745
S3,0.26196443,0.52398855,0.43278900
S4,0.64726357,0.54444009,0.49352137
S5,0.32182708,0.55077835,0.73449877
S6,0.38060898,0.82780573,0.50479138
S7,0.49709641,0.67486678,0.46224066
S8,1.00000000,0.20897986,0.81519210
S9,0.58700424,0.52822402,0.55967340
S10,0.63370953,0.53960725,0.54980334
S11,0.65933689,0.81492498,0.43365428
S12,0.40664597,0.42471371,0.61077188
S13,0.52169815,0.58505737,0.28220610
S14,0.62366727,0.46228074,0.73792162
S15,0.81610274,0.47017482,0.69637208
S16,0.48906226,0.73229015,0.46775338
S17,0.60532693,0.37188398,0.86334009
S18,0.35686220,0.81174010,0.68764717
S19,0.75807858,0.46103119,0.79148690
S20,1.00000000,0.52619571,0.73664120
S21,0.18438688,0.64863073,0.69822212
S22,0.69162266,0.54068184,0.52978279
S23,0.63635262,0.42447325,0.52251271
S24,0.76444765,0.60869449,0.37006339
S25,0.61424502,0.54087687,0.37954877
S26,0.57356146,0.16051550,0.67680248
S27,0.68544386,0.32853718,0.49718218
S28,0.91457609,0.30295549,0.57175553
S29,0.61742439,0.69040428,0.58114567
S30,0.89089654,0.14341659,0.55717392
S31,0.85057819,0.41502232,0.67125320
S32,0.47186447,0.97531716,0.45529803
S33,0.35838698,0.34751617,0.41574141
S34,0.79603723,0.42019581,0.49828001
S35,0.98681772,0.09584319,0.62612184
S36,0.62900874,0.53942619,0.38993685
S37,0.17060033,0.57940206,0.73375509
S38,0.39491614,0.27551182,0.40364057
S39,0.46259753,0.87619059,0.80663621
S40,0.51411591,0.50320236,0.48484726
S41,0.65278314,0.61002816,0.86722553
S42,0.53802685,0.39291854,0.44036164
S43,0.59050802,0.59047521,0.28300560
S44,0.74186285,0.68510287,0.37343837
S45,0.71973951,0.29512891,0.67004914
S46,1.00000000,0.44499422,0.69804811
S47,0.47136978,0.85909894,0.47684291
S48,0.74605834,0.53127905,0.28426086
