sample_id,node_name,src,dst,abundance,function_score,edge_weight
Z001,Fusobacterium,Fusobacterium,Porphyromonas,0.0957,0.5127,0.4099
Z001,Porphyromonas,Porphyromonas,Prevotella,0.0923,0.4807,0.4027
Z001,Prevotella,Prevotella,Streptococcus,0.0871,0.4933,0.3143
Z001,Streptococcus,Streptococcus,Lactobacillus,0.1188,0.5299,0.3536
Z001,Lactobacillus,Lactobacillus,Fusobacterium,0.107,0.4672,0.3633
Z002,Fusobacterium,Fusobacterium,Porphyromonas,0.1049,0.4941,0.3708
Z002,Porphyromonas,Porphyromonas,Prevotella,0.1022,0.5006,0.3887
Z002,Prevotella,Prevotella,Streptococcus,0.0938,0.4723,0.3526
Z002,Streptococcus,Streptococcus,Lactobacillus,0.1404,0.5345,0.3406
Z002,Lactobacillus,Lactobacillus,Fusobacterium,0.1038,0.4673,0.3416
Z003,Fusobacterium,Fusobacterium,Porphyromonas,0.1585,0.6452,0.5519
Z003,Porphyromonas,Porphyromonas,Prevotella,0.1307,0.5726,0.5648
Z003,Prevotella,Prevotella,Streptococcus,0.0992,0.5747,0.4915
Z003,Streptococcus,Streptococcus,Lactobacillus,0.128,0.4667,0.4884
Z003,Lactobacillus,Lactobacillus,Fusobacterium,0.1005,0.4296,0.4783
Z004,Fusobacterium,Fusobacterium,Porphyromonas,0.1203,0.5646,0.4678
Z004,Porphyromonas,Porphyromonas,Prevotella,0.1191,0.543,0.4538
Z004,Prevotella,Prevotella,Streptococcus,0.106,0.493,0.4079
Z004,Streptococcus,Streptococcus,Lactobacillus,0.1083,0.5109,0.4357
Z004,Lactobacillus,Lactobacillus,Fusobacterium,0.1038,0.469,0.4358
Z005,Fusobacterium,Fusobacterium,Porphyromonas,0.1167,0.5087,0.4429
Z005,Porphyromonas,Porphyromonas,Prevotella,0.0951,0.5101,0.3926
Z005,Prevotella,Prevotella,Streptococcus,0.1031,0.5163,0.3261
Z005,Streptococcus,Streptococcus,Lactobacillus,0.1402,0.5261,0.3382
Z005,Lactobacillus,Lactobacillus,Fusobacterium,0.1132,0.5079,0.3687
Z006,Fusobacterium,Fusobacterium,Porphyromonas,0.157,0.6475,0.5376
Z006,Porphyromonas,Porphyromonas,Prevotella,0.1326,0.5996,0.5411
Z006,Prevotella,Prevotella,Streptococcus,0.0972,0.5287,0.4899
Z006,Streptococcus,Streptococcus,Lactobacillus,0.1307,0.4872,0.4581
Z006,Lactobacillus,Lactobacillus,Fusobacterium,0.0954,0.4439,0.471
Z007,Fusobacterium,Fusobacterium,Porphyromonas,0.1045,0.4794,0.3675
Z007,Porphyromonas,Porphyromonas,Prevotella,0.0871,0.4525,0.3756
Z007,Prevotella,Prevotella,Streptococcus,0.0872,0.483,0.3011
Z007,Streptococcus,Streptococcus,Lactobacillus,0.1401,0.5499,0.3514
Z007,Lactobacillus,Lactobacillus,Fusobacterium,0.0989,0.5178,0.3152
Z008,Fusobacterium,Fusobacterium,Porphyromonas,0.0896,0.4841,0.3755
Z008,Porphyromonas,Porphyromonas,Prevotella,0.085,0.4791,0.3359
Z008,Prevotella,Prevotella,Streptococcus,0.0814,0.4734,0.3145
Z008,Streptococcus,Streptococcus,Lactobacillus,0.1276,0.5269,0.3045
Z008,Lactobacillus,Lactobacillus,Fusobacterium,0.1154,0.5222,0.3339
Z009,Fusobacterium,Fusobacterium,Porphyromonas,0.1303,0.5193,0.4115
Z009,Porphyromonas,Porphyromonas,Prevotella,0.112,0.5026,0.4359
Z009,Prevotella,Prevotella,Streptococcus,0.1029,0.5218,0.3336
Z009,Streptococcus,Streptococcus,Lactobacillus,0.1304,0.5168,0.3763
Z009,Lactobacillus,Lactobacillus,Fusobacterium,0.1095,0.4719,0.3454
Z010,Fusobacterium,Fusobacterium,Porphyromonas,0.1262,0.5976,0.4988
Z010,Porphyromonas,Porphyromonas,Prevotella,0.1189,0.5506,0.4534
Z010,Prevotella,Prevotella,Streptococcus,0.1151,0.5265,0.385
Z010,Streptococcus,Streptococcus,Lactobacillus,0.1181,0.5008,0.4005
Z010,Lactobacillus,Lactobacillus,Fusobacterium,0.0959,0.484,0.4265
Z011,Fusobacterium,Fusobacterium,Porphyromonas,0.1384,0.5887,0.5034
Z011,Porphyromonas,Porphyromonas,Prevotella,0.1286,0.5415,0.4842
Z011,Prevotella,Prevotella,Streptococcus,0.1011,0.5291,0.4491
Z011,Streptococcus,Streptococcus,Lactobacillus,0.1093,0.4694,0.3976
Z011,Lactobacillus,Lactobacillus,Fusobacterium,0.0833,0.4748,0.3949
Z012,Fusobacterium,Fusobacterium,Porphyromonas,0.1176,0.5159,0.441
Z012,Porphyromonas,Porphyromonas,Prevotella,0.1134,0.5122,0.4698
Z012,Prevotella,Prevotella,Streptococcus,0.0916,0.4985,0.3958
Z012,Streptococcus,Streptococcus,Lactobacillus,0.1251,0.5237,0.4095
Z012,Lactobacillus,Lactobacillus,Fusobacterium,0.0971,0.4744,0.3561
Z013,Fusobacterium,Fusobacterium,Porphyromonas,0.1154,0.5231,0.4133
Z013,Porphyromonas,Porphyromonas,Prevotella,0.1091,0.4896,0.4442
Z013,Prevotella,Prevotella,Streptococcus,0.0952,0.5208,0.3458
Z013,Streptococcus,Streptococcus,Lactobacillus,0.1366,0.5232,0.3384
Z013,Lactobacillus,Lactobacillus,Fusobacterium,0.0914,0.4665,0.3535
Z014,Fusobacterium,Fusobacterium,Porphyromonas,0.1061,0.5281,0.435
Z014,Porphyromonas,Porphyromonas,Prevotella,0.0971,0.4804,0.4194
Z014,Prevotella,Prevotella,Streptococcus,0.1172,0.4817,0.3422
Z014,Streptococcus,Streptococcus,Lactobacillus,0.1352,0.5578,0.3526
Z014,Lactobacillus,Lactobacillus,Fusobacterium,0.0928,0.4733,0.3271
Z015,Fusobacterium,Fusobacterium,Porphyromonas,0.1251,0.5454,0.4755
Z015,Porphyromonas,Porphyromonas,Prevotella,0.1127,0.525,0.4174
Z015,Prevotella,Prevotella,Streptococcus,0.0775,0.5455,0.4337
Z015,Streptococcus,Streptococcus,Lactobacillus,0.1311,0.5274,0.3983
Z015,Lactobacillus,Lactobacillus,Fusobacterium,0.087,0.5156,0.3983
Z016,Fusobacterium,Fusobacterium,Porphyromonas,0.1101,0.5353,0.3812
Z016,Porphyromonas,Porphyromonas,Prevotella,0.1081,0.4636,0.4511
Z016,Prevotella,Prevotella,Streptococcus,0.0987,0.5053,0.3818
Z016,Streptococcus,Streptococcus,Lactobacillus,0.1213,0.5035,0.4239
Z016,Lactobacillus,Lactobacillus,Fusobacterium,0.109,0.4444,0.3715
Z017,Fusobacterium,Fusobacterium,Porphyromonas,0.0805,0.4595,0.3443
Z017,Porphyromonas,Porphyromonas,Prevotella,0.0721,0.4795,0.3669
Z017,Prevotella,Prevotella,Streptococcus,0.0852,0.4978,0.2944
Z017,Streptococcus,Streptococcus,Lactobacillus,0.1294,0.549,0.2715
Z017,Lactobacillus,Lactobacillus,Fusobacterium,0.1161,0.5114,0.2996
Z018,Fusobacterium,Fusobacterium,Porphyromonas,0.1354,0.6043,0.4666
Z018,Porphyromonas,Porphyromonas,Prevotella,0.1146,0.5186,0.4266
Z018,Prevotella,Prevotella,Streptococcus,0.1055,0.5066,0.419
Z018,Streptococcus,Streptococcus,Lactobacillus,0.1252,0.5012,0.4154
Z018,Lactobacillus,Lactobacillus,Fusobacterium,0.0977,0.4731,0.4189
Z019,Fusobacterium,Fusobacterium,Porphyromonas,0.1077,0.4929,0.3938
Z019,Porphyromonas,Porphyromonas,Prevotella,0.0982,0.4735,0.3837
Z019,Prevotella,Prevotella,Streptococcus,0.0985,0.4979,0.3532
Z019,Streptococcus,Streptococcus,Lactobacillus,0.1344,0.5174,0.3193
Z019,Lactobacillus,Lactobacillus,Fusobacterium,0.1252,0.4919,0.3232
Z020,Fusobacterium,Fusobacterium,Porphyromonas,0.1282,0.5805,0.4916
Z020,Porphyromonas,Porphyromonas,Prevotella,0.1191,0.5386,0.4959
Z020,Prevotella,Prevotella,Streptococcus,0.1099,0.5165,0.4714
Z020,Streptococcus,Streptococcus,Lactobacillus,0.1284,0.5148,0.4533
Z020,Lactobacillus,Lactobacillus,Fusobacterium,0.1002,0.4478,0.4141
Z021,Fusobacterium,Fusobacterium,Porphyromonas,0.0981,0.4683,0.3682
Z021,Porphyromonas,Porphyromonas,Prevotella,0.1031,0.4506,0.383
Z021,Prevotella,Prevotella,Streptococcus,0.0929,0.4833,0.3133
Z021,Streptococcus,Streptococcus,Lactobacillus,0.1416,0.5539,0.3014
Z021,Lactobacillus,Lactobacillus,Fusobacterium,0.1169,0.513,0.2919
Z022,Fusobacterium,Fusobacterium,Porphyromonas,0.1175,0.5557,0.5144
Z022,Porphyromonas,Porphyromonas,Prevotella,0.1062,0.5619,0.488
Z022,Prevotella,Prevotella,Streptococcus,0.1077,0.5029,0.4138
Z022,Streptococcus,Streptococcus,Lactobacillus,0.1238,0.4684,0.4237
Z022,Lactobacillus,Lactobacillus,Fusobacterium,0.0885,0.4337,0.4536
Z023,Fusobacterium,Fusobacterium,Porphyromonas,0.116,0.5726,0.485
Z023,Porphyromonas,Porphyromonas,Prevotella,0.1184,0.5103,0.5107
