sample_id,bile_acids,scfa,tryptophan_metabolism
S1,0.449,0.517,0.515
S2,0.46,0.543,0.448
S3,0.716,0.433,0.581
S4,0.606,0.497,0.61
S5,0.526,0.557,0.417
S6,0.704,0.378,0.678
S7,0.488,0.625,0.263
S8,0.345,0.722,0.356
S9,0.407,0.535,0.447
S10,0.52,0.47,0.514
S11,0.598,0.513,0.504
S12,0.556,0.503,0.464
S13,0.472,0.499,0.398
S14,0.399,0.556,0.469
S15,0.491,0.477,0.503
S16,0.554,0.473,0.53
S17,0.314,0.627,0.388
S18,0.628,0.419,0.563
S19,0.422,0.59,0.307
S20,0.589,0.429,0.562
S21,0.419,0.599,0.397
S22,0.512,0.387,0.544
S23,0.614,0.407,0.598
S24,0.466,0.619,0.5
S25,0.627,0.417,0.583
S26,0.577,0.477,0.497
S27,0.28,0.691,0.228
S28,0.671,0.44,0.563
S29,0.581,0.589,0.519
S30,0.237,0.56,0.374
S31,0.46,0.441,0.517
S32,0.386,0.673,0.344
S33,0.552,0.493,0.604
S34,0.273,0.584,0.352
S35,0.455,0.536,0.554
S36,0.342,0.585,0.396
S37,0.385,0.654,0.401
S38,0.473,0.473,0.458
S39,0.693,0.239,0.702
S40,0.476,0.463,0.507
S41,0.238,0.711,0.362
S42,0.24,0.726,0.315
S43,0.479,0.529,0.537
S44,0.674,0.41,0.586
S45,0.128,0.875,0.292
S46,0.63,0.409,0.579
S47,0.752,0.336,0.535
S48,0.457,0.441,0.467
S49,0.669,0.457,0.617
S50,0.558,0.479,0.415
S51,0.783,0.466,0.625
S52,0.495,0.381,0.528
S53,0.576,0.364,0.653
S54,0.515,0.521,0.549
S55,0.383,0.602,0.465
S56,0.502,0.569,0.443
S57,0.359,0.541,0.367
S58,0.744,0.345,0.619
S59,0.569,0.442,0.599
S60,0.618,0.336,0.548
S61,0.709,0.376,0.619
S62,0.553,0.524,0.544
S63,0.443,0.562,0.442
S64,0.721,0.347,0.71
S65,0.813,0.333,0.674
S66,0.664,0.375,0.575
S67,0.646,0.536,0.617
S68,0.341,0.646,0.417
S69,0.45,0.668,0.398
S70,0.467,0.385,0.476
S71,0.39,0.592,0.413
S72,0.4,0.581,0.442
S73,0.489,0.537,0.468
S74,0.48,0.505,0.459
S75,0.326,0.593,0.429
S76,0.377,0.662,0.356
S77,0.708,0.364,0.603
S78,0.381,0.684,0.368
S79,0.572,0.523,0.562
S80,0.415,0.48,0.455
S81,0.834,0.233,0.623
S82,0.566,0.557,0.528
S83,0.474,0.487,0.449
S84,0.626,0.325,0.54
S85,0.542,0.516,0.447
S86,0.644,0.443,0.556
S87,0.531,0.648,0.517
S88,0.655,0.209,0.68
S89,0.686,0.335,0.626
S90,0.543,0.309,0.569
S91,0.497,0.61,0.401
S92,0.432,0.444,0.433
S93,0.689,0.316,0.654
S94,0.515,0.526,0.495
S95,0.532,0.437,0.571
S96,0.393,0.66,0.439
S97,0.336,0.488,0.452
S98,0.658,0.23,0.602
S99,0.407,0.476,0.462
S100,0.545,0.512,0.561
S101,0.449,0.566,0.61
S102,0.448,0.455,0.474
S103,0.133,0.813,0.215
S104,0.67,0.385,0.579
S105,0.367,0.687,0.348
S106,0.291,0.719,0.242
S107,0.368,0.616,0.544
S108,0.594,0.546,0.479
S109,0.664,0.429,0.535
S110,0.469,0.497,0.518
S111,0.639,0.384,0.615
S112,0.373,0.492,0.406
S113,0.442,0.498,0.455
S114,0.672,0.431,0.639
S115,0.416,0.573,0.441
S116,0.631,0.391,0.573
S117,0.307,0.761,0.287
S118,0.347,0.605,0.426
S119,0.439,0.565,0.471
S120,0.457,0.424,0.55
S121,0.475,0.518,0.506
S122,0.383,0.724,0.321
S123,0.397,0.625,0.364
S124,0.466,0.534,0.439
S125,0.352,0.564,0.462
S126,0.663,0.319,0.72
S127,0.518,0.504,0.498
S128,0.635,0.476,0.506
S129,0.715,0.252,0.556
S130,0.219,0.8,0.359
S131,0.368,0.601,0.382
S132,0.647,0.302,0.638
S133,0.523,0.385,0.602
S134,0.532,0.385,0.578
S135,0.675,0.42,0.614
S136,0.447,0.535,0.44
S137,0.547,0.391,0.625
S138,0.372,0.543,0.422
S139,0.426,0.598,0.374
S140,0.506,0.611,0.41
S141,0.553,0.525,0.62
S142,0.503,0.594,0.498
S143,0.597,0.439,0.558
S144,0.473,0.56,0.458
S145,0.531,0.575,0.49
S146,0.405,0.552,0.396
S147,0.786,0.267,0.706
S148,0.483,0.474,0.477
S149,0.637,0.173,0.667
S150,0.412,0.622,0.346
S151,0.466,0.596,0.416
S152,0.505,0.526,0.626
S153,0.258,0.659,0.329
S154,0.45,0.615,0.569
S155,0.497,0.536,0.461
S156,0.47,0.7,0.4
S157,0.363,0.554,0.441
S158,0.469,0.601,0.453
S159,0.582,0.531,0.49
S160,0.582,0.279,0.579
S161,0.389,0.639,0.287
S162,0.402,0.567,0.467
S163,0.274,0.732,0.297
S164,0.541,0.336,0.51
S165,0.76,0.261,0.65
S166,0.224,0.734,0.269
S167,0.582,0.464,0.561
S168,0.313,0.686,0.303
S169,0.605,0.401,0.559
S170,0.204,0.733,0.262
S171,0.704,0.427,0.669
S172,0.906,0.115,0.818
S173,0.48,0.54,0.359
S174,0.684,0.533,0.511
S175,0.302,0.701,0.326
S176,0.564,0.584,0.617
S177,0.448,0.514,0.48
S178,0.641,0.538,0.446
S179,0.293,0.667,0.257
S180,0.49,0.567,0.52
S181,0.251,0.677,0.295
S182,0.397,0.663,0.327
S183,0.726,0.394,0.665
S184,0.12,0.793,0.358
S185,0.533,0.465,0.59
S186,0.465,0.559,0.496
S187,0.619,0.35,0.607
S188,0.349,0.691,0.357
S189,0.328,0.755,0.243
S190,0.602,0.534,0.582
S191,0.616,0.39,0.53
S192,0.657,0.3,0.649
S193,0.601,0.478,0.507
S194,0.729,0.364,0.653
S195,0.489,0.55,0.362
S196,0.407,0.623,0.494
S197,0.386,0.577,0.397
S198,0.746,0.426,0.503
S199,0.483,0.647,0.432
S200,0.598,0.493,0.59
S201,0.598,0.466,0.495
S202,0.777,0.355,0.66
S203,0.669,0.459,0.607
S204,0.613,0.413,0.589
S205,0.493,0.406,0.394
S206,0.441,0.57,0.39
S207,0.596,0.446,0.48
S208,0.67,0.492,0.5
S209,0.312,0.578,0.383
S210,0.479,0.444,0.468
S211,0.198,0.673,0.289
S212,0.509,0.54,0.469
S213,0.681,0.412,0.502
S214,0.339,0.65,0.353
S215,0.399,0.486,0.429
S216,0.688,0.28,0.725
S217,0.423,0.641,0.466
S218,0.491,0.555,0.418
S219,0.533,0.527,0.497
S220,0.541,0.544,0.414
S221,0.467,0.599,0.533
S222,0.507,0.567,0.466
S223,0.684,0.356,0.699
S224,0.561,0.38,0.568
S225,0.4,0.614,0.417
S226,0.492,0.609,0.526
S227,0.81,0.201,0.621
S228,0.288,0.774,0.348
S229,0.502,0.449,0.458
S230,0.694,0.378,0.609
S231,0.453,0.59,0.476
S232,0.606,0.514,0.572
S233,0.678,0.348,0.752
S234,0.477,0.671,0.355
S235,0.255,0.723,0.246
S236,0.377,0.6,0.461
S237,0.744,0.289,0.668
S238,0.297,0.589,0.351
S239,0.568,0.591,0.497
S240,0.556,0.395,0.632
S241,0.147,0.829,0.154
S242,0.297,0.658,0.416
S243,0.735,0.33,0.517
S244,0.331,0.738,0.246
S245,0.425,0.536,0.346
S246,0.5,0.41,0.539
S247,0.465,0.514,0.479
S248,0.728,0.419,0.647
S249,0.42,0.669,0.42
S250,0.257,0.77,0.323
S251,0.607,0.373,0.563
S252,0.614,0.524,0.494
S253,0.541,0.543,0.534
S254,0.345,0.543,0.435
S255,0.522,0.552,0.513
S256,0.41,0.614,0.412
S257,0.382,0.548,0.357
S258,0.55,0.609,0.378
S259,0.428,0.457,0.47
S260,0.459,0.672,0.42
S261,0.273,0.621,0.314
S262,0.432,0.552,0.443
S263,0.249,0.738,0.389
S264,0.483,0.479,0.495
S265,0.797,0.342,0.65
S266,0.727,0.251,0.626
S267,0.655,0.248,0.623
S268,0.714,0.293,0.725
S269,0.388,0.594,0.369
S270,0.755,0.304,0.623
S271,0.716,0.497,0.496
S272,0.334,0.512,0.504
S273,0.294,0.779,0.279
S274,0.474,0.69,0.474
S275,0.569,0.468,0.607
S276,0.624,0.553,0.669
S277,0.744,0.45,0.633
S278,0.466,0.562,0.534
S279,0.494,0.46,0.486
S280,0.596,0.519,0.559
S281,0.661,0.371,0.587
S282,0.457,0.553,0.497
S283,0.497,0.393,0.485
S284,0.581,0.47,0.527
S285,0.748,0.236,0.642
S286,0.568,0.313,0.644
S287,0.569,0.453,0.545
S288,0.703,0.333,0.602
S289,0.225,0.746,0.303
S290,0.362,0.615,0.452
S291,0.575,0.496,0.506
S292,0.493,0.466,0.46
S293,0.707,0.407,0.609
S294,0.759,0.345,0.696
S295,0.806,0.312,0.804
S296,0.799,0.342,0.583
S297,0.665,0.321,0.735
S298,0.484,0.466,0.429
S299,0.643,0.4,0.607
S300,0.577,0.457,0.532
S301,0.385,0.559,0.381
S302,0.216,0.633,0.325
S303,0.45,0.552,0.442
S304,0.539,0.404,0.522
S305,0.67,0.237,0.655
S306,0.625,0.371,0.551
S307,0.603,0.452,0.525
S308,0.277,0.777,0.304
S309,0.366,0.62,0.421
S310,0.758,0.327,0.675
S311,0.51,0.596,0.542
S312,0.469,0.507,0.476
S313,0.538,0.429,0.52
S314,0.407,0.551,0.374
S315,0.616,0.498,0.58
S316,0.533,0.6,0.518
S317,0.45,0.543,0.42
S318,0.538,0.475,0.558
S319,0.488,0.452,0.372
S320,0.538,0.564,0.552
S321,0.303,0.731,0.423
S322,0.702,0.564,0.609
S323,0.426,0.615,0.408
S324,0.399,0.52,0.441
S325,0.252,0.857,0.228
S326,0.51,0.544,0.54
S327,0.45,0.441,0.425
S328,0.617,0.499,0.524
S329,0.511,0.603,0.463
S330,0.729,0.228,0.706
S331,0.367,0.676,0.445
S332,0.575,0.415,0.591
S333,0.457,0.422,0.514
S334,0.126,0.857,0.258
S335,0.391,0.712,0.403
S336,0.524,0.535,0.517
S337,0.48,0.713,0.359
S338,0.458,0.479,0.495
S339,0.383,0.595,0.406
S340,0.663,0.249,0.629
S341,0.565,0.432,0.453
S342,0.48,0.418,0.437
S343,0.412,0.644,0.508
S344,0.559,0.452,0.588
S345,0.554,0.504,0.486
S346,0.606,0.548,0.515
S347,0.343,0.876,0.326
S348,0.599,0.353,0.664
S349,0.649,0.372,0.667
S350,0.654,0.373,0.687
S351,0.588,0.464,0.51
S352,0.401,0.473,0.44
S353,0.494,0.412,0.512
S354,0.272,0.651,0.424
S355,0.192,0.662,0.252
S356,0.49,0.553,0.487
S357,0.393,0.538,0.463
S358,0.565,0.428,0.549
S359,0.719,0.202,0.732
S360,0.481,0.412,0.507
S361,0.508,0.439,0.477
S362,0.696,0.547,0.483
S363,0.502,0.541,0.58
S364,0.301,0.778,0.27
S365,0.242,0.56,0.472
S366,0.603,0.52,0.596
S367,0.397,0.633,0.389
