sample_id,node_name,src,dst,abundance,function_score,edge_weight
E001,Fusobacterium,Fusobacterium,Porphyromonas,0.104,0.4694,0.4599
E001,Porphyromonas,Porphyromonas,Prevotella,0.1088,0.4376,0.383
E001,Prevotella,Prevotella,Streptococcus,0.0962,0.5107,0.3441
E001,Streptococcus,Streptococcus,Lactobacillus,0.133,0.5321,0.2578
E001,Lactobacillus,Lactobacillus,Fusobacterium,0.098,0.4571,0.2134
E002,Fusobacterium,Fusobacterium,Porphyromonas,0.1825,0.7025,0.5845
E002,Porphyromonas,Porphyromonas,Prevotella,0.1438,0.7187,0.6393
E002,Prevotella,Prevotella,Streptococcus,0.1227,0.6036,0.5036
E002,Streptococcus,Streptococcus,Lactobacillus,0.0922,0.4279,0.3764
E002,Lactobacillus,Lactobacillus,Fusobacterium,0.0803,0.3928,0.2923
E003,Fusobacterium,Fusobacterium,Porphyromonas,0.1068,0.526,0.3768
E003,Porphyromonas,Porphyromonas,Prevotella,0.0851,0.4677,0.4252
E003,Prevotella,Prevotella,Streptococcus,0.0869,0.5114,0.3229
E003,Streptococcus,Streptococcus,Lactobacillus,0.1439,0.4987,0.2876
E003,Lactobacillus,Lactobacillus,Fusobacterium,0.0927,0.5405,0.2308
E004,Fusobacterium,Fusobacterium,Porphyromonas,0.113,0.5992,0.4263
E004,Porphyromonas,Porphyromonas,Prevotella,0.0997,0.4989,0.4382
E004,Prevotella,Prevotella,Streptococcus,0.106,0.5014,0.3277
E004,Streptococcus,Streptococcus,Lactobacillus,0.1223,0.5502,0.2757
E004,Lactobacillus,Lactobacillus,Fusobacterium,0.1035,0.5157,0.2677
E005,Fusobacterium,Fusobacterium,Porphyromonas,0.1014,0.5695,0.4849
E005,Porphyromonas,Porphyromonas,Prevotella,0.0951,0.4774,0.4358
E005,Prevotella,Prevotella,Streptococcus,0.0911,0.4946,0.3292
E005,Streptococcus,Streptococcus,Lactobacillus,0.125,0.5417,0.291
E005,Lactobacillus,Lactobacillus,Fusobacterium,0.1016,0.4857,0.2227
E006,Fusobacterium,Fusobacterium,Porphyromonas,0.0894,0.4705,0.3896
E006,Porphyromonas,Porphyromonas,Prevotella,0.0965,0.4959,0.3408
E006,Prevotella,Prevotella,Streptococcus,0.0834,0.4663,0.3071
E006,Streptococcus,Streptococcus,Lactobacillus,0.1432,0.5163,0.1937
E006,Lactobacillus,Lactobacillus,Fusobacterium,0.1173,0.5235,0.1838
E007,Fusobacterium,Fusobacterium,Porphyromonas,0.0906,0.4817,0.3836
E007,Porphyromonas,Porphyromonas,Prevotella,0.0972,0.5287,0.3715
E007,Prevotella,Prevotella,Streptococcus,0.1075,0.5226,0.3202
E007,Streptococcus,Streptococcus,Lactobacillus,0.1269,0.5144,0.2379
E007,Lactobacillus,Lactobacillus,Fusobacterium,0.1073,0.5058,0.1944
E008,Fusobacterium,Fusobacterium,Porphyromonas,0.1966,0.7286,0.6993
E008,Porphyromonas,Porphyromonas,Prevotella,0.1617,0.7232,0.6867
E008,Prevotella,Prevotella,Streptococcus,0.1337,0.5888,0.5794
E008,Streptococcus,Streptococcus,Lactobacillus,0.0914,0.4597,0.3935
E008,Lactobacillus,Lactobacillus,Fusobacterium,0.0645,0.3354,0.3324
E009,Fusobacterium,Fusobacterium,Porphyromonas,0.0946,0.4857,0.3867
E009,Porphyromonas,Porphyromonas,Prevotella,0.0952,0.4593,0.4002
E009,Prevotella,Prevotella,Streptococcus,0.0867,0.4994,0.3684
E009,Streptococcus,Streptococcus,Lactobacillus,0.1324,0.4909,0.2551
E009,Lactobacillus,Lactobacillus,Fusobacterium,0.1087,0.4846,0.2257
E010,Fusobacterium,Fusobacterium,Porphyromonas,0.1345,0.6508,0.432
E010,Porphyromonas,Porphyromonas,Prevotella,0.1221,0.5801,0.4333
E010,Prevotella,Prevotella,Streptococcus,0.0997,0.539,0.3361
E010,Streptococcus,Streptococcus,Lactobacillus,0.1305,0.481,0.3012
E010,Lactobacillus,Lactobacillus,Fusobacterium,0.0836,0.434,0.2669
E011,Fusobacterium,Fusobacterium,Porphyromonas,0.1466,0.6649,0.5167
E011,Porphyromonas,Porphyromonas,Prevotella,0.1139,0.5911,0.4953
E011,Prevotella,Prevotella,Streptococcus,0.1137,0.5544,0.4169
E011,Streptococcus,Streptococcus,Lactobacillus,0.1146,0.4517,0.2828
E011,Lactobacillus,Lactobacillus,Fusobacterium,0.0864,0.4408,0.281
E012,Fusobacterium,Fusobacterium,Porphyromonas,0.1171,0.5383,0.4187
E012,Porphyromonas,Porphyromonas,Prevotella,0.1098,0.5752,0.429
E012,Prevotella,Prevotella,Streptococcus,0.0852,0.4898,0.3499
E012,Streptococcus,Streptococcus,Lactobacillus,0.1229,0.4975,0.2985
E012,Lactobacillus,Lactobacillus,Fusobacterium,0.1118,0.4821,0.2052
E013,Fusobacterium,Fusobacterium,Porphyromonas,0.1532,0.6707,0.6392
E013,Porphyromonas,Porphyromonas,Prevotella,0.1361,0.6369,0.5904
E013,Prevotella,Prevotella,Streptococcus,0.1256,0.5885,0.4838
E013,Streptococcus,Streptococcus,Lactobacillus,0.1175,0.4666,0.3041
E013,Lactobacillus,Lactobacillus,Fusobacterium,0.0752,0.4003,0.3138
E014,Fusobacterium,Fusobacterium,Porphyromonas,0.1506,0.6608,0.5172
E014,Porphyromonas,Porphyromonas,Prevotella,0.1134,0.6138,0.519
E014,Prevotella,Prevotella,Streptococcus,0.1049,0.5326,0.3868
E014,Streptococcus,Streptococcus,Lactobacillus,0.1136,0.4813,0.2532
E014,Lactobacillus,Lactobacillus,Fusobacterium,0.0861,0.4432,0.2598
E015,Fusobacterium,Fusobacterium,Porphyromonas,0.1192,0.5726,0.4625
E015,Porphyromonas,Porphyromonas,Prevotella,0.1072,0.5781,0.4415
E015,Prevotella,Prevotella,Streptococcus,0.0959,0.5601,0.3655
E015,Streptococcus,Streptococcus,Lactobacillus,0.1189,0.4565,0.2677
E015,Lactobacillus,Lactobacillus,Fusobacterium,0.094,0.4691,0.2145
E016,Fusobacterium,Fusobacterium,Porphyromonas,0.0821,0.4462,0.4189
E016,Porphyromonas,Porphyromonas,Prevotella,0.0808,0.4573,0.3712
E016,Prevotella,Prevotella,Streptococcus,0.0792,0.478,0.2874
E016,Streptococcus,Streptococcus,Lactobacillus,0.1322,0.523,0.2429
E016,Lactobacillus,Lactobacillus,Fusobacterium,0.1006,0.4918,0.2084
E017,Fusobacterium,Fusobacterium,Porphyromonas,0.1236,0.6596,0.4778
E017,Porphyromonas,Porphyromonas,Prevotella,0.1265,0.6435,0.5142
E017,Prevotella,Prevotella,Streptococcus,0.1079,0.5247,0.4115
E017,Streptococcus,Streptococcus,Lactobacillus,0.1086,0.4511,0.2977
E017,Lactobacillus,Lactobacillus,Fusobacterium,0.0922,0.426,0.2656
E018,Fusobacterium,Fusobacterium,Porphyromonas,0.1389,0.5897,0.4914
E018,Porphyromonas,Porphyromonas,Prevotella,0.1146,0.5928,0.4884
E018,Prevotella,Prevotella,Streptococcus,0.1137,0.4954,0.4337
E018,Streptococcus,Streptococcus,Lactobacillus,0.123,0.4648,0.2747
E018,Lactobacillus,Lactobacillus,Fusobacterium,0.1114,0.4178,0.214
E019,Fusobacterium,Fusobacterium,Porphyromonas,0.083,0.4359,0.3051
E019,Porphyromonas,Porphyromonas,Prevotella,0.0798,0.4668,0.2964
E019,Prevotella,Prevotella,Streptococcus,0.0854,0.4711,0.2845
E019,Streptococcus,Streptococcus,Lactobacillus,0.1317,0.5421,0.2029
E019,Lactobacillus,Lactobacillus,Fusobacterium,0.104,0.5068,0.1683
E020,Fusobacterium,Fusobacterium,Porphyromonas,0.1459,0.6227,0.5022
E020,Porphyromonas,Porphyromonas,Prevotella,0.1236,0.6206,0.5099
E020,Prevotella,Prevotella,Streptococcus,0.116,0.5229,0.4018
E020,Streptococcus,Streptococcus,Lactobacillus,0.1208,0.4613,0.3071
E020,Lactobacillus,Lactobacillus,Fusobacterium,0.0945,0.3962,0.2411
E021,Fusobacterium,Fusobacterium,Porphyromonas,0.1477,0.6567,0.5942
E021,Porphyromonas,Porphyromonas,Prevotella,0.1379,0.6105,0.5377
E021,Prevotella,Prevotella,Streptococcus,0.1073,0.5606,0.4202
E021,Streptococcus,Streptococcus,Lactobacillus,0.1158,0.4843,0.3034
E021,Lactobacillus,Lactobacillus,Fusobacterium,0.0909,0.448,0.2464
...TRUNCATED...
