sample_id,bile_acids,scfa,tryptophan_metabolism
E001,0.578,0.592,0.57
E002,0.787,0.479,0.671
E003,0.632,0.641,0.592
E004,0.612,0.596,0.54
E005,0.628,0.587,0.638
E006,0.538,0.648,0.507
E007,0.554,0.581,0.596
E008,0.856,0.49,0.846
E009,0.577,0.648,0.55
E010,0.696,0.595,0.677
E011,0.672,0.463,0.695
E012,0.635,0.607,0.578
E013,0.818,0.514,0.676
E014,0.729,0.542,0.648
E015,0.639,0.533,0.605
E016,0.507,0.609,0.54
E017,0.66,0.532,0.617
E018,0.646,0.518,0.62
E019,0.514,0.677,0.54
E020,0.717,0.568,0.641
E021,0.695,0.548,0.69
E022,0.519,0.694,0.519
E023,0.756,0.487,0.688
E024,0.781,0.497,0.756
E025,0.735,0.518,0.635
E026,0.478,0.735,0.427
E027,0.761,0.474,0.734
E028,0.802,0.506,0.782
E029,0.707,0.547,0.654
E030,0.621,0.612,0.589
E031,0.676,0.571,0.612
E032,0.577,0.621,0.533
E033,0.549,0.636,0.541
E034,0.865,0.521,0.82
E035,0.687,0.545,0.687
E036,0.712,0.532,0.669
E037,0.682,0.52,0.628
E038,0.9,0.43,0.789
E039,0.625,0.581,0.672
E040,0.765,0.487,0.744
E041,0.766,0.491,0.685
E042,0.914,0.399,0.819
E043,0.726,0.509,0.655
E044,0.593,0.631,0.552
E045,0.571,0.623,0.582
E046,0.69,0.585,0.644
E047,0.566,0.597,0.562
E048,0.553,0.644,0.527
E049,0.853,0.498,0.749
E050,0.579,0.644,0.507
E051,0.756,0.542,0.665
E052,0.619,0.623,0.566
E053,0.542,0.649,0.506
E054,0.431,0.722,0.427
E055,0.742,0.558,0.706
E056,0.692,0.581,0.684
E057,0.509,0.67,0.532
E058,0.722,0.559,0.667
E059,0.628,0.542,0.58
E060,0.65,0.58,0.612
E061,0.507,0.684,0.469
E062,0.544,0.649,0.56
E063,0.629,0.588,0.588
E064,0.57,0.635,0.589
E065,0.647,0.585,0.597
E066,0.574,0.648,0.522
E067,0.57,0.62,0.55
E068,0.685,0.575,0.651
E069,0.463,0.693,0.498
E070,0.539,0.639,0.562
E071,0.792,0.438,0.73
E072,0.473,0.724,0.456
E073,0.724,0.544,0.702
E074,0.742,0.513,0.727
E075,0.737,0.514,0.679
E076,0.511,0.67,0.562
E077,0.692,0.539,0.701
E078,0.842,0.46,0.81
E079,0.682,0.514,0.657
E080,0.736,0.539,0.676
E081,0.566,0.617,0.568
E082,0.483,0.652,0.459
E083,0.482,0.696,0.402
E084,0.691,0.577,0.674
E085,0.703,0.541,0.643
E086,0.684,0.518,0.698
E087,0.788,0.445,0.745
E088,0.557,0.65,0.566
E089,0.557,0.627,0.523
E090,0.559,0.652,0.556
E091,0.664,0.588,0.649
E092,0.504,0.707,0.466
E093,0.642,0.552,0.607
E094,0.589,0.604,0.551
E095,0.568,0.648,0.509
E096,0.745,0.527,0.656
E097,0.653,0.578,0.648
E098,0.832,0.488,0.76
E099,0.794,0.495,0.736
E100,0.731,0.547,0.691
E101,0.856,0.442,0.768
E102,0.607,0.65,0.558
E103,0.786,0.488,0.691
E104,0.635,0.59,0.59
E105,0.723,0.557,0.637
E106,0.519,0.64,0.558
E107,0.913,0.447,0.807
E108,0.74,0.513,0.685
E109,0.728,0.523,0.653
E110,0.689,0.549,0.615
E111,0.636,0.583,0.591
E112,0.658,0.581,0.639
E113,0.728,0.544,0.675
E114,0.676,0.573,0.629
E115,0.675,0.594,0.641
E116,0.566,0.646,0.576
E117,0.527,0.673,0.508
E118,0.702,0.542,0.623
E119,0.73,0.509,0.668
E120,0.678,0.541,0.611
E121,0.837,0.442,0.729
E122,0.608,0.592,0.56
E123,0.585,0.63,0.537
E124,0.736,0.504,0.641
E125,0.701,0.548,0.692
E126,0.629,0.581,0.592
E127,0.613,0.623,0.525
E128,0.609,0.598,0.559
E129,0.806,0.47,0.703
E130,0.578,0.587,0.509
E131,0.592,0.596,0.59
E132,0.601,0.603,0.529
E133,0.548,0.686,0.564
E134,0.611,0.581,0.582
E135,0.695,0.555,0.668
E136,0.775,0.516,0.69
E137,0.527,0.669,0.498
E138,0.605,0.589,0.558
E139,0.518,0.655,0.548
E140,0.645,0.581,0.608
E141,0.615,0.581,0.581
E142,0.657,0.582,0.654
E143,0.802,0.432,0.708
E144,0.548,0.663,0.575
E145,0.565,0.605,0.515
E146,0.841,0.462,0.775
E147,0.551,0.659,0.576
E148,0.654,0.605,0.608
E149,0.688,0.573,0.661
E150,0.602,0.611,0.541
E151,0.601,0.606,0.531
E152,0.634,0.56,0.578
E153,0.654,0.571,0.636
E154,0.827,0.458,0.762
E155,0.563,0.656,0.584
E156,0.543,0.66,0.54
E157,0.598,0.622,0.542
E158,0.63,0.579,0.564
E159,0.557,0.67,0.531
E160,0.638,0.584,0.631
E161,0.673,0.586,0.63
E162,0.62,0.606,0.631
E163,0.638,0.585,0.545
E164,0.84,0.438,0.738
E165,0.604,0.63,0.567
E166,0.684,0.557,0.661
E167,0.595,0.618,0.522
E168,0.703,0.529,0.642
E169,0.482,0.675,0.483
E170,0.495,0.699,0.486
E171,0.674,0.596,0.62
E172,0.706,0.53,0.654
E173,0.783,0.457,0.69
E174,0.564,0.68,0.501
E175,0.693,0.53,0.674
E176,0.737,0.51,0.734
E177,0.798,0.474,0.744
E178,0.775,0.499,0.677
E179,0.614,0.595,0.595
E180,0.626,0.588,0.623
E181,0.698,0.58,0.664
E182,0.757,0.497,0.685
E183,0.586,0.599,0.569
E184,0.553,0.629,0.5
E185,0.526,0.674,0.538
E186,0.61,0.574,0.587
E187,0.847,0.442,0.751
E188,0.787,0.471,0.707
E189,0.605,0.603,0.535
E190,0.685,0.558,0.65
E191,0.627,0.58,0.613
E192,0.714,0.566,0.656
E193,0.763,0.498,0.703
E194,0.846,0.456,0.756
E195,0.733,0.509,0.659
E196,0.689,0.535,0.614
E197,0.494,0.687,0.5
