sample_id,bile_acids,scfa,tryptophan_metabolism
Z001,0.565,0.651,0.527
Z002,0.49,0.684,0.546
Z003,0.81,0.449,0.722
Z004,0.665,0.56,0.636
Z005,0.567,0.621,0.481
Z006,0.774,0.46,0.753
Z007,0.541,0.686,0.475
Z008,0.522,0.682,0.509
Z009,0.631,0.58,0.61
Z010,0.668,0.616,0.655
Z011,0.689,0.544,0.718
Z012,0.617,0.603,0.622
Z013,0.578,0.604,0.562
Z014,0.576,0.655,0.598
Z015,0.654,0.605,0.583
Z016,0.557,0.632,0.581
Z017,0.439,0.73,0.453
Z018,0.691,0.591,0.675
Z019,0.506,0.652,0.495
Z020,0.732,0.519,0.621
Z021,0.529,0.682,0.56
Z022,0.71,0.554,0.659
Z023,0.7,0.558,0.642
Z024,0.623,0.564,0.614
Z025,0.782,0.485,0.712
Z026,0.636,0.606,0.593
Z027,0.43,0.742,0.414
Z028,0.732,0.52,0.683
Z029,0.677,0.564,0.599
Z030,0.508,0.666,0.539
Z031,0.638,0.568,0.636
Z032,0.515,0.684,0.486
Z033,0.656,0.619,0.61
Z034,0.45,0.764,0.462
Z035,0.644,0.62,0.577
Z036,0.505,0.691,0.51
Z037,0.616,0.601,0.526
Z038,0.533,0.68,0.575
Z039,0.883,0.445,0.798
Z040,0.711,0.544,0.6
Z041,0.581,0.656,0.524
Z042,0.473,0.74,0.404
Z043,0.637,0.58,0.636
Z044,0.773,0.478,0.729
Z045,0.43,0.776,0.4
Z046,0.648,0.517,0.677
Z047,0.77,0.509,0.752
Z048,0.64,0.563,0.595
Z049,0.722,0.459,0.752
Z050,0.635,0.658,0.603
Z051,0.843,0.442,0.774
Z052,0.659,0.595,0.633
Z053,0.749,0.496,0.706
Z054,0.676,0.574,0.658
Z055,0.596,0.608,0.625
Z056,0.677,0.588,0.596
Z057,0.514,0.681,0.458
Z058,0.801,0.498,0.791
Z059,0.714,0.512,0.664
Z060,0.724,0.518,0.717
Z061,0.785,0.52,0.758
Z062,0.608,0.631,0.588
Z063,0.663,0.561,0.621
Z064,0.781,0.483,0.721
Z065,0.879,0.424,0.782
Z066,0.743,0.467,0.691
Z067,0.787,0.527,0.734
Z068,0.52,0.636,0.535
Z069,0.533,0.707,0.472
Z070,0.705,0.559,0.662
Z071,0.551,0.648,0.575
Z072,0.583,0.603,0.567
Z073,0.623,0.663,0.61
Z074,0.588,0.592,0.576
Z075,0.533,0.623,0.515
Z076,0.548,0.663,0.551
Z077,0.83,0.497,0.729
Z078,0.49,0.707,0.505
Z079,0.736,0.533,0.683
Z080,0.628,0.554,0.608
Z081,0.825,0.444,0.781
Z082,0.685,0.583,0.645
Z083,0.576,0.66,0.591
Z084,0.799,0.489,0.755
Z085,0.596,0.627,0.537
Z086,0.75,0.537,0.653
Z087,0.593,0.594,0.542
Z088,0.861,0.445,0.819
Z089,0.722,0.533,0.687
Z090,0.731,0.517,0.649
Z091,0.621,0.653,0.628
Z092,0.58,0.654,0.546
Z093,0.826,0.479,0.743
Z094,0.631,0.606,0.621
Z095,0.711,0.592,0.677
Z096,0.56,0.601,0.541
Z097,0.523,0.661,0.507
Z098,0.786,0.485,0.789
Z099,0.549,0.629,0.547
Z100,0.751,0.512,0.721
Z101,0.63,0.604,0.601
Z102,0.668,0.598,0.573
Z103,0.438,0.761,0.428
Z104,0.783,0.483,0.723
Z105,0.492,0.715,0.503
Z106,0.49,0.75,0.479
Z107,0.633,0.663,0.586
Z108,0.682,0.599,0.635
Z109,0.725,0.51,0.673
Z110,0.699,0.533,0.654
Z111,0.756,0.502,0.696
Z112,0.559,0.643,0.567
Z113,0.701,0.596,0.661
Z114,0.717,0.566,0.648
Z115,0.543,0.64,0.514
Z116,0.717,0.542,0.676
Z117,0.445,0.751,0.4
Z118,0.574,0.645,0.574
Z119,0.618,0.611,0.583
Z120,0.636,0.586,0.648
Z121,0.587,0.636,0.499
Z122,0.576,0.594,0.561
Z123,0.506,0.692,0.51
Z124,0.54,0.644,0.501
Z125,0.519,0.677,0.487
Z126,0.77,0.499,0.75
Z127,0.565,0.635,0.541
Z128,0.74,0.55,0.669
Z129,0.803,0.467,0.739
Z130,0.43,0.69,0.4
Z131,0.584,0.585,0.602
Z132,0.741,0.518,0.734
Z133,0.615,0.62,0.613
Z134,0.699,0.52,0.649
Z135,0.778,0.463,0.699
Z136,0.657,0.593,0.604
