sample_id,node_name,src,dst,abundance,function_score,edge_weight
S1,Fusobacterium,Fusobacterium,Porphyromonas,0.106,0.574,0.446
S1,Porphyromonas,Porphyromonas,Prevotella,0.123,0.543,0.424
S1,Prevotella,Prevotella,Streptococcus,0.097,0.503,0.343
S1,Streptococcus,Streptococcus,Lactobacillus,0.132,0.507,0.421
S1,Lactobacillus,Lactobacillus,Fusobacterium,0.119,0.511,0.404
S1,Fusobacterium,Fusobacterium,Prevotella,0.106,0.574,0.448
S2,Fusobacterium,Fusobacterium,Porphyromonas,0.18,0.668,0.586
S2,Porphyromonas,Porphyromonas,Prevotella,0.162,0.637,0.591
S2,Prevotella,Prevotella,Streptococcus,0.103,0.559,0.582
S2,Streptococcus,Streptococcus,Lactobacillus,0.12,0.464,0.605
S2,Lactobacillus,Lactobacillus,Fusobacterium,0.098,0.395,0.571
S2,Fusobacterium,Fusobacterium,Prevotella,0.18,0.668,0.58
S3,Fusobacterium,Fusobacterium,Porphyromonas,0.11,0.541,0.444
S3,Porphyromonas,Porphyromonas,Prevotella,0.124,0.572,0.439
S3,Prevotella,Prevotella,Streptococcus,0.092,0.536,0.431
S3,Streptococcus,Streptococcus,Lactobacillus,0.135,0.461,0.381
S3,Lactobacillus,Lactobacillus,Fusobacterium,0.124,0.538,0.374
S3,Fusobacterium,Fusobacterium,Prevotella,0.11,0.541,0.432
S4,Fusobacterium,Fusobacterium,Porphyromonas,0.137,0.543,0.514
S4,Porphyromonas,Porphyromonas,Prevotella,0.131,0.606,0.429
S4,Prevotella,Prevotella,Streptococcus,0.095,0.498,0.486
S4,Streptococcus,Streptococcus,Lactobacillus,0.098,0.508,0.437
S4,Lactobacillus,Lactobacillus,Fusobacterium,0.112,0.477,0.492
S4,Fusobacterium,Fusobacterium,Prevotella,0.137,0.543,0.542
S5,Fusobacterium,Fusobacterium,Porphyromonas,0.131,0.53,0.403
S5,Porphyromonas,Porphyromonas,Prevotella,0.134,0.565,0.514
S5,Prevotella,Prevotella,Streptococcus,0.097,0.481,0.402
S5,Streptococcus,Streptococcus,Lactobacillus,0.123,0.505,0.404
S5,Lactobacillus,Lactobacillus,Fusobacterium,0.134,0.485,0.427
S5,Fusobacterium,Fusobacterium,Prevotella,0.131,0.53,0.458
S6,Fusobacterium,Fusobacterium,Porphyromonas,0.073,0.495,0.344
S6,Porphyromonas,Porphyromonas,Prevotella,0.085,0.451,0.279
S6,Prevotella,Prevotella,Streptococcus,0.077,0.451,0.357
S6,Streptococcus,Streptococcus,Lactobacillus,0.12,0.538,0.313
S6,Lactobacillus,Lactobacillus,Fusobacterium,0.144,0.538,0.269
S6,Fusobacterium,Fusobacterium,Prevotella,0.073,0.495,0.348
S7,Fusobacterium,Fusobacterium,Porphyromonas,0.222,0.875,0.785
S7,Porphyromonas,Porphyromonas,Prevotella,0.205,0.775,0.749
S7,Prevotella,Prevotella,Streptococcus,0.133,0.655,0.775
S7,Streptococcus,Streptococcus,Lactobacillus,0.091,0.458,0.736
S7,Lactobacillus,Lactobacillus,Fusobacterium,0.075,0.405,0.71
S7,Fusobacterium,Fusobacterium,Prevotella,0.222,0.875,0.709
S8,Fusobacterium,Fusobacterium,Porphyromonas,0.184,0.704,0.596
S8,Porphyromonas,Porphyromonas,Prevotella,0.143,0.633,0.531
S8,Prevotella,Prevotella,Streptococcus,0.121,0.493,0.541
S8,Streptococcus,Streptococcus,Lactobacillus,0.124,0.458,0.562
S8,Lactobacillus,Lactobacillus,Fusobacterium,0.105,0.492,0.562
S8,Fusobacterium,Fusobacterium,Prevotella,0.184,0.704,0.586
S9,Fusobacterium,Fusobacterium,Porphyromonas,0.156,0.674,0.549
S9,Porphyromonas,Porphyromonas,Prevotella,0.137,0.637,0.516
S9,Prevotella,Prevotella,Streptococcus,0.114,0.523,0.479
S9,Streptococcus,Streptococcus,Lactobacillus,0.12,0.481,0.47
S9,Lactobacillus,Lactobacillus,Fusobacterium,0.103,0.504,0.544
S9,Fusobacterium,Fusobacterium,Prevotella,0.156,0.674,0.538
S10,Fusobacterium,Fusobacterium,Porphyromonas,0.064,0.467,0.349
S10,Porphyromonas,Porphyromonas,Prevotella,0.092,0.438,0.306
S10,Prevotella,Prevotella,Streptococcus,0.066,0.437,0.254
S10,Streptococcus,Streptococcus,Lactobacillus,0.128,0.577,0.303
S10,Lactobacillus,Lactobacillus,Fusobacterium,0.133,0.555,0.276
S10,Fusobacterium,Fusobacterium,Prevotella,0.064,0.467,0.351
S11,Fusobacterium,Fusobacterium,Porphyromonas,0.096,0.478,0.391
S11,Porphyromonas,Porphyromonas,Prevotella,0.091,0.495,0.294
S11,Prevotella,Prevotella,Streptococcus,0.082,0.505,0.341
S11,Streptococcus,Streptococcus,Lactobacillus,0.122,0.504,0.305
S11,Lactobacillus,Lactobacillus,Fusobacterium,0.131,0.523,0.338
S11,Fusobacterium,Fusobacterium,Prevotella,0.096,0.478,0.3
S12,Fusobacterium,Fusobacterium,Porphyromonas,0.041,0.318,0.266
S12,Porphyromonas,Porphyromonas,Prevotella,0.056,0.392,0.236
S12,Prevotella,Prevotella,Streptococcus,0.046,0.438,0.169
S12,Streptococcus,Streptococcus,Lactobacillus,0.134,0.472,0.173
S12,Lactobacillus,Lactobacillus,Fusobacterium,0.154,0.644,0.177
S12,Fusobacterium,Fusobacterium,Prevotella,0.041,0.318,0.161
S13,Fusobacterium,Fusobacterium,Porphyromonas,0.13,0.616,0.515
S13,Porphyromonas,Porphyromonas,Prevotella,0.109,0.573,0.483
S13,Prevotella,Prevotella,Streptococcus,0.106,0.497,0.415
S13,Streptococcus,Streptococcus,Lactobacillus,0.111,0.475,0.456
S13,Lactobacillus,Lactobacillus,Fusobacterium,0.119,0.503,0.433
S13,Fusobacterium,Fusobacterium,Prevotella,0.13,0.616,0.452
S14,Fusobacterium,Fusobacterium,Porphyromonas,0.198,0.738,0.644
S14,Porphyromonas,Porphyromonas,Prevotella,0.172,0.692,0.612
S14,Prevotella,Prevotella,Streptococcus,0.122,0.532,0.606
S14,Streptococcus,Streptococcus,Lactobacillus,0.111,0.518,0.574
S14,Lactobacillus,Lactobacillus,Fusobacterium,0.109,0.458,0.579
S14,Fusobacterium,Fusobacterium,Prevotella,0.198,0.738,0.588
S15,Fusobacterium,Fusobacterium,Porphyromonas,0.089,0.441,0.35
S15,Porphyromonas,Porphyromonas,Prevotella,0.079,0.484,0.294
S15,Prevotella,Prevotella,Streptococcus,0.073,0.434,0.285
S15,Streptococcus,Streptococcus,Lactobacillus,0.134,0.479,0.297
S15,Lactobacillus,Lactobacillus,Fusobacterium,0.139,0.551,0.259
S15,Fusobacterium,Fusobacterium,Prevotella,0.089,0.441,0.347
S16,Fusobacterium,Fusobacterium,Porphyromonas,0.184,0.705,0.608
S16,Porphyromonas,Porphyromonas,Prevotella,0.161,0.69,0.626
S16,Prevotella,Prevotella,Streptococcus,0.112,0.536,0.593
S16,Streptococcus,Streptococcus,Lactobacillus,0.119,0.432,0.578
S16,Lactobacillus,Lactobacillus,Fusobacterium,0.075,0.499,0.542
S16,Fusobacterium,Fusobacterium,Prevotella,0.184,0.705,0.556
S17,Fusobacterium,Fusobacterium,Porphyromonas,0.187,0.716,0.668
S17,Porphyromonas,Porphyromonas,Prevotella,0.152,0.689,0.591
S17,Prevotella,Prevotella,Streptococcus,0.12,0.522,0.536
S17,Streptococcus,Streptococcus,Lactobacillus,0.103,0.528,0.526
S17,Lactobacillus,Lactobacillus,Fusobacterium,0.089,0.473,0.585
S17,Fusobacterium,Fusobacterium,Prevotella,0.187,0.716,0.591
S18,Fusobacterium,Fusobacterium,Porphyromonas,0.14,0.649,0.458
S18,Porphyromonas,Porphyromonas,Prevotella,0.119,0.576,0.504
S18,Prevotella,Prevotella,Streptococcus,0.089,0.452,0.441
