sample_id,bile_acids,scfa,tryptophan_metabolism
S1,0.543,0.579,0.404
S2,0.601,0.381,0.605
S3,0.521,0.536,0.471
S4,0.609,0.6,0.427
S5,0.485,0.571,0.399
S6,0.345,0.588,0.324
S7,0.879,0.342,0.711
S8,0.525,0.51,0.632
S9,0.644,0.525,0.562
S10,0.474,0.714,0.329
S11,0.461,0.632,0.387
S12,0.306,0.733,0.222
S13,0.617,0.544,0.539
S14,0.827,0.404,0.637
S15,0.398,0.625,0.381
S16,0.799,0.483,0.633
S17,0.664,0.465,0.621
S18,0.585,0.557,0.44
S19,0.75,0.421,0.645
S20,0.591,0.569,0.52
S21,0.751,0.462,0.693
S22,0.616,0.539,0.512
S23,0.767,0.433,0.682
S24,0.603,0.437,0.546
S25,0.551,0.636,0.481
S26,0.876,0.357,0.745
S27,0.481,0.694,0.459
S28,0.62,0.463,0.615
S29,0.791,0.456,0.693
S30,0.522,0.655,0.438
S31,0.724,0.476,0.583
S32,0.523,0.673,0.426
S33,0.755,0.445,0.73
S34,0.578,0.611,0.395
S35,0.728,0.387,0.622
S36,0.538,0.605,0.499
S37,0.393,0.583,0.279
S38,0.77,0.418,0.739
S39,0.46,0.689,0.411
S40,0.605,0.527,0.537
S41,0.695,0.505,0.533
S42,0.695,0.433,0.677
S43,0.505,0.531,0.379
S44,0.798,0.418,0.78
S45,0.823,0.26,0.728
S46,0.249,0.77,0.273
S47,0.611,0.605,0.502
S48,0.284,0.758,0.282
S49,0.757,0.448,0.625
S50,0.529,0.545,0.489
S51,0.467,0.579,0.503
S52,0.615,0.663,0.52
S53,0.71,0.513,0.622
S54,0.686,0.58,0.534
S55,0.561,0.542,0.486
S56,0.432,0.631,0.367
S57,0.444,0.753,0.385
S58,0.682,0.537,0.578
S59,0.825,0.338,0.718
S60,0.773,0.368,0.71
S61,0.801,0.446,0.697
S62,0.639,0.44,0.555
S63,0.619,0.423,0.523
S64,0.802,0.431,0.649
S65,0.831,0.395,0.788
S66,0.344,0.759,0.241
S67,0.658,0.403,0.738
S68,0.845,0.371,0.703
S69,0.619,0.503,0.452
S70,0.531,0.579,0.468
S71,0.501,0.62,0.37
S72,0.861,0.313,0.743
S73,0.609,0.543,0.488
S74,0.595,0.439,0.615
S75,0.709,0.424,0.639
S76,0.437,0.634,0.414
S77,0.77,0.369,0.599
S78,0.522,0.544,0.493
S79,0.689,0.348,0.685
S80,0.683,0.399,0.624
S81,0.527,0.65,0.49
S82,0.724,0.589,0.427
S83,0.768,0.398,0.729
S84,0.556,0.629,0.429
S85,0.631,0.368,0.6
S86,0.861,0.396,0.67
S87,0.635,0.456,0.492
S88,0.839,0.323,0.728
S89,0.349,0.755,0.282
S90,0.512,0.6,0.585
S91,0.669,0.506,0.648
S92,0.714,0.493,0.58
S93,0.298,0.787,0.271
S94,0.591,0.428,0.655
S95,0.613,0.601,0.534
S96,0.541,0.681,0.447
S97,0.62,0.597,0.402
S98,0.815,0.432,0.73
S99,0.673,0.573,0.58
S100,0.581,0.579,0.493
S101,0.655,0.467,0.622
S102,0.689,0.407,0.568
S103,0.515,0.596,0.416
S104,0.541,0.58,0.523
S105,0.619,0.461,0.68
S106,0.629,0.656,0.468
S107,0.814,0.318,0.722
S108,0.556,0.583,0.42
S109,0.362,0.677,0.401
S110,0.862,0.222,0.744
S111,0.623,0.484,0.638
S112,0.509,0.596,0.389
S113,0.57,0.523,0.495
S114,0.546,0.507,0.445
S115,0.673,0.505,0.547
S116,0.485,0.607,0.542
S117,0.65,0.535,0.617
S118,0.683,0.464,0.567
S119,0.539,0.607,0.388
S120,0.785,0.336,0.657
