sample_id,node_name,src,dst,abundance,function_score,edge_weight
S1,Fusobacterium,Fusobacterium,Porphyromonas,0.46752496,0.56975101,0.15963029
S1,Porphyromonas,Fusobacterium,Prevotella,0.63361412,0.64010230,0.16121147
S1,Prevotella,Fusobacterium,Streptococcus,0.59236762,0.61732324,0.31336927
S1,Streptococcus,Fusobacterium,Lactobacillus,0.40264884,0.48263576,0.17250102
S1,Lactobacillus,Porphyromonas,Prevotella,0.32277531,0.31701493,0.20592187
S1,Fusobacterium,Porphyromonas,Streptococcus,0.46752496,0.56975101,0.31028124
S1,Porphyromonas,Porphyromonas,Lactobacillus,0.63361412,0.64010230,0.14260132
S1,Prevotella,Prevotella,Streptococcus,0.59236762,0.61732324,0.29418380
S1,Streptococcus,Prevotella,Lactobacillus,0.40264884,0.48263576,0.15028674
S1,Lactobacillus,Streptococcus,Lactobacillus,0.32277531,0.31701493,0.39786704
S2,Fusobacterium,Fusobacterium,Porphyromonas,0.41236486,0.55625167,0.18134821
S2,Porphyromonas,Fusobacterium,Prevotella,0.26685041,0.50620376,0.16523611
S2,Prevotella,Fusobacterium,Streptococcus,0.51164295,0.53698486,0.33107805
S2,Streptococcus,Fusobacterium,Lactobacillus,0.64312976,0.60478180,0.17664517
S2,Lactobacillus,Porphyromonas,Prevotella,0.34031457,0.36070868,0.20835270
S2,Fusobacterium,Porphyromonas,Streptococcus,0.41236486,0.55625167,0.34199378
S2,Porphyromonas,Porphyromonas,Lactobacillus,0.26685041,0.50620376,0.20983003
S2,Prevotella,Prevotella,Streptococcus,0.51164295,0.53698486,0.28895203
S2,Streptococcus,Prevotella,Lactobacillus,0.64312976,0.60478180,0.16736605
S2,Lactobacillus,Streptococcus,Lactobacillus,0.34031457,0.36070868,0.33875980
S3,Fusobacterium,Fusobacterium,Porphyromonas,0.55052958,0.62397650,0.16428067
S3,Porphyromonas,Fusobacterium,Prevotella,0.36713864,0.50647659,0.16335346
S3,Prevotella,Fusobacterium,Streptococcus,0.80549903,0.66934433,0.31870445
S3,Streptococcus,Fusobacterium,Lactobacillus,0.52258389,0.55563221,0.16428814
S3,Lactobacillus,Porphyromonas,Prevotella,0.37295611,0.33307330,0.26123299
S3,Fusobacterium,Porphyromonas,Streptococcus,0.55052958,0.62397650,0.30067552
S3,Porphyromonas,Porphyromonas,Lactobacillus,0.36713864,0.50647659,0.18619036
S3,Prevotella,Prevotella,Streptococcus,0.80549903,0.66934433,0.27700808
S3,Streptococcus,Prevotella,Lactobacillus,0.52258389,0.55563221,0.11456554
S3,Lactobacillus,Streptococcus,Lactobacillus,0.37295611,0.33307330,0.36820886
S4,Fusobacterium,Fusobacterium,Porphyromonas,0.78540322,0.73879776,0.16266768
S4,Porphyromonas,Fusobacterium,Prevotella,0.51208866,0.59062964,0.16744204
S4,Prevotella,Fusobacterium,Streptococcus,0.55452661,0.59219421,0.30295991
S4,Streptococcus,Fusobacterium,Lactobacillus,0.59846808,0.57697816,0.14444157
S4,Lactobacillus,Porphyromonas,Prevotella,0.37132179,0.34348000,0.21325855
S4,Fusobacterium,Porphyromonas,Streptococcus,0.78540322,0.73879776,0.29819483
S4,Porphyromonas,Porphyromonas,Lactobacillus,0.51208866,0.59062964,0.16558936
S4,Prevotella,Prevotella,Streptococcus,0.55452661,0.59219421,0.28235762
S4,Streptococcus,Prevotella,Lactobacillus,0.59846808,0.57697816,0.15989417
S4,Lactobacillus,Streptococcus,Lactobacillus,0.37132179,0.34348000,0.35336881
S5,Fusobacterium,Fusobacterium,Porphyromonas,0.71917845,0.72444366,0.15120688
S5,Porphyromonas,Fusobacterium,Prevotella,0.36546438,0.48640334,0.18238921
S5,Prevotella,Fusobacterium,Streptococcus,0.71949197,0.65879785,0.31491200
S5,Streptococcus,Fusobacterium,Lactobacillus,0.53693325,0.56175922,0.14782164
S5,Lactobacillus,Porphyromonas,Prevotella,0.33727909,0.30056699,0.24458124
S5,Fusobacterium,Porphyromonas,Streptococcus,0.71917845,0.72444366,0.30342382
S5,Porphyromonas,Porphyromonas,Lactobacillus,0.36546438,0.48640334,0.19186999
S5,Prevotella,Prevotella,Streptococcus,0.71949197,0.65879785,0.27628028
S5,Streptococcus,Prevotella,Lactobacillus,0.53693325,0.56175922,0.12436123
S5,Lactobacillus,Streptococcus,Lactobacillus,0.33727909,0.30056699,0.36383025
S6,Fusobacterium,Fusobacterium,Porphyromonas,0.17372703,0.43088838,0.18151019
S6,Porphyromonas,Fusobacterium,Prevotella,0.43392501,0.55274312,0.27092136
S6,Prevotella,Fusobacterium,Streptococcus,0.08477890,0.41480124,0.43497293
S6,Streptococcus,Fusobacterium,Lactobacillus,0.91896190,0.63793832,0.11685679
S6,Lactobacillus,Porphyromonas,Prevotella,0.74449373,0.59715891,0.16134620
S6,Fusobacterium,Porphyromonas,Streptococcus,0.17372703,0.43088838,0.35646387
S6,Porphyromonas,Porphyromonas,Lactobacillus,0.43392501,0.55274312,0.14490249
S6,Prevotella,Prevotella,Streptococcus,0.08477890,0.41480124,0.42935034
S6,Streptococcus,Prevotella,Lactobacillus,0.91896190,0.63793832,0.05177408
S6,Lactobacillus,Streptococcus,Lactobacillus,0.74449373,0.59715891,0.49311097
S7,Fusobacterium,Fusobacterium,Porphyromonas,0.67171883,0.68993600,0.15941388
S7,Porphyromonas,Fusobacterium,Prevotella,0.43989457,0.55521415,0.17466459
S7,Prevotella,Fusobacterium,Streptococcus,0.69183103,0.63637252,0.31900857
S7,Streptococcus,Fusobacterium,Lactobacillus,0.49769450,0.52492902,0.15268880
S7,Lactobacillus,Porphyromonas,Prevotella,0.33508171,0.31981416,0.22692124
S7,Fusobacterium,Porphyromonas,Streptococcus,0.67171883,0.68993600,0.29646077
S7,Porphyromonas,Porphyromonas,Lactobacillus,0.43989457,0.55521415,0.17878357
S7,Prevotella,Prevotella,Streptococcus,0.69183103,0.63637252,0.28672012
S7,Streptococcus,Prevotella,Lactobacillus,0.49769450,0.52492902,0.13009716
S7,Lactobacillus,Streptococcus,Lactobacillus,0.33508171,0.31981416,0.37320194
S8,Fusobacterium,Fusobacterium,Porphyromonas,0.61049030,0.70326907,0.16095517
S8,Porphyromonas,Fusobacterium,Prevotella,0.40469212,0.54052757,0.18814624
S8,Prevotella,Fusobacterium,Streptococcus,0.97133889,0.71865128,0.33162791
S8,Streptococcus,Fusobacterium,Lactobacillus,0.18334966,0.41038167,0.15845679
S8,Lactobacillus,Porphyromonas,Prevotella,0.32541442,0.35030786,0.29850987
S8,Fusobacterium,Porphyromonas,Streptococcus,0.61049030,0.70326907,0.24659776
S8,Porphyromonas,Porphyromonas,Lactobacillus,0.40469212,0.54052757,0.18622204
S8,Prevotella,Prevotella,Streptococcus,0.97133889,0.71865128,0.42881112
S8,Streptococcus,Prevotella,Lactobacillus,0.18334966,0.41038167,0.04204081
S8,Lactobacillus,Streptococcus,Lactobacillus,0.32541442,0.35030786,0.45577098
S9,Fusobacterium,Fusobacterium,Porphyromonas,0.55884371,0.63760518,0.16449461
S9,Porphyromonas,Fusobacterium,Prevotella,0.75166474,0.68171019,0.16386230
S9,Prevotella,Fusobacterium,Streptococcus,0.46636646,0.51444212,0.31855165
S9,Streptococcus,Fusobacterium,Lactobacillus,0.54165987,0.53570427,0.16359294
S9,Lactobacillus,Porphyromonas,Prevotella,0.33343865,0.39447116,0.22826982
S9,Fusobacterium,Porphyromonas,Streptococcus,0.55884371,0.63760518,0.28530694
S9,Porphyromonas,Porphyromonas,Lactobacillus,0.75166474,0.68171019,0.12007438
S9,Prevotella,Prevotella,Streptococcus,0.46636646,0.51444212,0.28888572
S9,Streptococcus,Prevotella,Lactobacillus,0.54165987,0.53570427,0.17659814
S9,Lactobacillus,Streptococcus,Lactobacillus,0.33343865,0.39447116,0.36249630
S10,Fusobacterium,Fusobacterium,Porphyromonas,0.55472349,0.64371996,0.16399260
S10,Porphyromonas,Fusobacterium,Prevotella,0.45591492,0.52808268,0.16410627
S10,Prevotella,Fusobacterium,Streptococcus,0.97230000,0.69269350,0.31864971
