sample_id,bile_acids,scfa,tryptophan_metabolism
S1,0.84865546,0.18853892,0.32539854
S2,0.46127122,0.45971671,0.42302356
S3,0.50880746,0.45426010,0.43969368
S4,0.69547952,0.31623851,0.60419919
S5,0.77514858,0.49167069,0.55236175
S6,0.56118622,0.75702218,0.33273520
S7,0.58476930,0.32181402,0.55359419
S8,0.87035407,0.21178378,0.75334184
S9,0.47154562,0.46457899,0.65311315
S10,0.67313334,0.76222549,0.71641188
S11,0.54705676,0.33020081,0.50427820
S12,0.57486863,0.52617880,0.00000000
S13,0.86990901,0.17003206,0.55815635
S14,0.58115280,0.38843280,0.47119456
S15,0.72794188,0.32263229,0.60252146
S16,0.53407657,0.54087100,0.38511053
S17,0.59540723,0.31451921,0.66649341
S18,0.80744912,0.64350480,0.49317712
S19,0.69154675,0.45846845,0.29028269
S20,0.72742912,0.39582407,0.41259757
S21,0.61748662,0.33039323,0.36375924
S22,0.51931680,0.43544167,0.42766142
S23,0.65733313,0.39113636,0.63899302
S24,0.52299642,0.55466911,0.76209135
S25,0.60334156,0.54268847,0.58757206
S26,0.71601474,0.37303595,0.67969366
S27,0.58606146,0.76970998,0.37985334
S28,0.76895996,0.39167933,0.63168447
S29,0.66620203,0.72309122,0.56572934
S30,0.95910269,0.41813287,0.61179922
S31,0.59621597,0.38394231,0.54059607
S32,0.80244752,0.48257714,0.70480092
S33,0.55299760,0.39116509,0.42328757
S34,0.75705089,0.61134319,0.95053813
S35,0.76537962,0.60000470,0.40659640
S36,0.46490012,0.82026359,0.67071679
S37,0.57221825,0.59656882,0.39848628
S38,0.48786366,0.24150433,0.64276270
S39,0.50837398,0.02097969,0.74256642
S40,0.28399275,0.72184407,0.37443806
S41,0.75251128,0.23873271,0.64454810
S42,0.38729530,0.60865278,0.36971729
S43,0.76637638,0.52828428,0.71528505
S44,0.59911336,0.50561379,0.63912958
S45,0.61558805,0.59148257,0.40947039
S46,0.54937335,0.59301797,0.28141173
