sample_id,taxon,saliva_relative_abundance,stool_relative_abundance,fused_raw_abundance,model_abundance
S1,Fusobacterium,0.0314055605,0.0000139111,0.0209416774,0.4675249557
S1,Porphyromonas,0.1001579220,0.0000047657,0.0678504522,0.6336141222
S1,Prevotella,0.1746675450,0.0000098067,0.1033284688,0.5923676226
S1,Streptococcus,0.1391839581,0.0099666918,0.0769682373,0.4026488362
S1,Lactobacillus,0.0000062380,0.0000011182,0.0000037405,0.3227753087
S2,Fusobacterium,0.0232332631,0.0000001519,0.0154888927,0.4123648581
S2,Porphyromonas,0.0049919208,0.0000020368,0.0033822808,0.2668504106
S2,Prevotella,0.1423296575,0.0000565552,0.0842181087,0.5116429454
S2,Streptococcus,0.3219593295,0.0001066929,0.1669932452,0.6431297606
S2,Lactobacillus,0.0000274512,0.0000018641,0.0000149697,0.3403145746
S3,Fusobacterium,0.0388837132,0.0000044820,0.0259239695,0.5505295813
S3,Porphyromonas,0.0200066173,0.0000073658,0.0135552459,0.3671386385
S3,Prevotella,0.2507873540,0.0019313387,0.1491419393,0.8054990302
S3,Streptococcus,0.2035558152,0.0114255115,0.1110486320,0.5225838925
S3,Lactobacillus,0.0000080304,0.0000740118,0.0000402164,0.3729561062
S4,Fusobacterium,0.0764321692,0.0023247574,0.0517296986,0.7854032199
S4,Porphyromonas,0.0642976595,0.0003336112,0.0436640956,0.5120886582
S4,Prevotella,0.1542131436,0.0068855708,0.0940370927,0.5545266061
S4,Streptococcus,0.1932742027,0.1033668980,0.1499855004,0.5984680836
S4,Lactobacillus,0.0000192987,0.0000557839,0.0000370964,0.3713217904
S5,Fusobacterium,0.0627451218,0.0000012172,0.0418304869,0.7191784532
S5,Porphyromonas,0.0198214835,0.0000048193,0.0134290112,0.3654643810
S5,Prevotella,0.1991506237,0.0002053608,0.1178912910,0.7194919676
S5,Streptococcus,0.2327794913,0.0001817495,0.1207879860,0.5369332490
S5,Lactobacillus,0.0000201922,0.0000031563,0.0000118820,0.3372790904
S6,Fusobacterium,0.0079725222,0.0000166396,0.0053205613,0.1737270265
