sample_id,taxon,saliva_relative_abundance,stool_relative_abundance,fused_raw_abundance,model_abundance
S1,Fusobacterium,0.0311578762,0.0000110533,0.0207756019,0.4165000000
S1,Porphyromonas,0.0996712353,0.0000137113,0.0675236470,0.6816000000
S1,Prevotella,0.1286350882,0.0006162067,0.0763456859,0.4712596389
S1,Streptococcus,0.2604832783,0.0076241576,0.1387362943,0.5061986111
S1,Lactobacillus,0.0000041256,0.0000132060,0.0000085551,0.1673782222
S2,Fusobacterium,0.0258953024,0.0002191527,0.0173365858,0.3220816111
S2,Porphyromonas,0.0695357151,0.0001488743,0.0471528632,0.5810000000
S2,Prevotella,0.0434452116,0.0029549704,0.0269069441,0.1891667500
S2,Streptococcus,0.3618553924,0.0152831823,0.1949872913,0.6817315556
S2,Lactobacillus,0.0000169250,0.0001027786,0.0000588048,0.4741462222
S3,Fusobacterium,0.0308129102,0.0000920313,0.0205726173,0.4102709444
S3,Porphyromonas,0.0963710395,0.0000357497,0.0652951395,0.6725000000
S3,Prevotella,0.0784006306,0.0103004105,0.0505850478,0.3150843611
S3,Streptococcus,0.3052932508,0.0959094366,0.2044788217,0.7090501111
S3,Lactobacillus,0.0000031622,0.0001137364,0.0000571009,0.4659942222
S4,Fusobacterium,0.0263497609,0.0000012115,0.0175669111,0.3270251111
S4,Porphyromonas,0.0203925033,0.0000076960,0.0138167590,0.3442790278
S4,Prevotella,0.1144785659,0.0000222228,0.0677287920,0.4269674444
S4,Streptococcus,0.3488996606,0.0008570184,0.1813235736,0.6466000000
S4,Lactobacillus,0.0001328977,0.0000567967,0.0000957753,0.5916627778
S5,Fusobacterium,0.0405718511,0.0000418259,0.0270618427,0.5671000000
S5,Porphyromonas,0.0693651152,0.0001446271,0.0470359255,0.5795610000
S5,Prevotella,0.0900160408,0.0006453450,0.0535125172,0.3325634444
S5,Streptococcus,0.3496156359,0.0022391365,0.1823602844,0.6484000000
S5,Lactobacillus,0.0000905882,0.0001338749,0.0001117037,0.6202287222
S6,Fusobacterium,0.0154072340,0.0000118826,0.0102754502,0.0615834722
S6,Porphyromonas,0.0686928937,0.0000248481,0.0465419112,0.5744820556
S6,Prevotella,0.0085203514,0.0042227804,0.0067650055,0.1052810556
S6,Streptococcus,0.4649048292,0.1524653373,0.3144709998,0.8947116667
S6,Lactobacillus,0.0000292785,0.0029813762,0.0014693262,0.9719316667
S7,Fusobacterium,0.0365999274,0.0000044358,0.0244014302,0.5004313333
S7,Porphyromonas,0.0378270243,0.0000206324,0.0256314140,0.4336304444
S7,Prevotella,0.2615144494,0.0005093387,0.1549067282,0.7766301667
S7,Streptococcus,0.1817460439,0.0017070555,0.0950606050,0.3492806389
S7,Lactobacillus,0.0000035956,0.0000032475,0.0000034258,0.1097794444
S8,Fusobacterium,0.0521363583,0.0001150878,0.0347959348,0.7005269722
S8,Porphyromonas,0.0489821246,0.0001920942,0.0332434051,0.4899566944
S8,Prevotella,0.2093224058,0.0216899747,0.1326838072,0.7173174722
S8,Streptococcus,0.1938494356,0.0024590934,0.1016985301,0.3761000000
S8,Lactobacillus,0.0000027160,0.0000110997,0.0000068056,0.1464913889
S9,Fusobacterium,0.0444541758,0.0008733756,0.0299272424,0.6197398889
S9,Porphyromonas,0.1352808891,0.0000972784,0.0916732728,0.7878103056
S9,Prevotella,0.0928527067,0.0111918722,0.0594982813,0.3711845000
S9,Streptococcus,0.2040501186,0.0155536523,0.1132925608,0.4200358333
S9,Lactobacillus,0.0000050907,0.0000703631,0.0000369309,0.3738191667
S10,Fusobacterium,0.0361633023,0.0001196916,0.0241487654,0.4954756667
S10,Porphyromonas,0.0631662392,0.0000747412,0.0428141431,0.5509000000
S10,Prevotella,0.1446475144,0.0007618124,0.0858772981,0.5183510833
S10,Streptococcus,0.2684477531,0.0066915460,0.1424169867,0.5195929444
S10,Lactobacillus,0.0000160099,0.0000235771,0.0000197012,0.2589296667
S11,Fusobacterium,0.0217532379,0.0000493405,0.0145186054,0.2477226111
S11,Porphyromonas,0.0222545915,0.0000169009,0.0150811429,0.3548415278
S11,Prevotella,0.1274186657,0.0043783990,0.0771627821,0.4769000000
S11,Streptococcus,0.3550494289,0.1078223060,0.2360141475,0.7679064444
S11,Lactobacillus,0.0000253130,0.0009913779,0.0004965642,0.8304582222
S12,Fusobacterium,0.0720440036,0.0020502196,0.0487127423,0.9177000000
S12,Porphyromonas,0.1057903823,0.0002626527,0.0717491792,0.7000000000
S12,Prevotella,0.0644682727,0.0106738937,0.0424959207,0.2732462500
S12,Streptococcus,0.2855166599,0.2878011718,0.2866166101,0.8459224444
S12,Lactobacillus,0.0000397151,0.0001522726,0.0000946212,0.5893314444
S13,Fusobacterium,0.0273244858,0.0000437081,0.0182308932,0.3462572778
S13,Porphyromonas,0.0129950955,0.0000154820,0.0088081234,0.2900291667
S13,Prevotella,0.2009073559,0.0012018710,0.1193375100,0.6636960000
S13,Streptococcus,0.3275734012,0.0495053761,0.1936887965,0.6788162778
S13,Lactobacillus,0.0002124789,0.0030502862,0.0015967751,0.9793708333
S14,Fusobacterium,0.0495416504,0.0000377440,0.0330403483,0.6684318611
S14,Porphyromonas,0.0727256150,0.0001037291,0.0492992002,0.5967378611
S14,Prevotella,0.1910141882,0.0010091359,0.1134064908,0.6420281667
S14,Streptococcus,0.1976813718,0.0015152510,0.1032310174,0.3817746944
S14,Lactobacillus,0.0000045197,0.0000022647,0.0000034197,0.1093795556
S15,Fusobacterium,0.0342810232,0.0000514893,0.0228711786,0.4681524444
S15,Porphyromonas,0.0487906659,0.0000093110,0.0330547450,0.4878569722
S15,Prevotella,0.1943060666,0.0005974076,0.1151856284,0.6485000000
S15,Streptococcus,0.2390863581,0.0306725984,0.1387389924,0.5063000000
S15,Lactobacillus,0.0000242594,0.0002121526,0.0001159146,0.6254000000
S16,Fusobacterium,0.0444949894,0.0000056022,0.0296651937,0.6147027778
S16,Porphyromonas,0.1245112277,0.0000061374,0.0843482954,0.7613129722
S16,Prevotella,0.1444666012,0.0001431922,0.0855176032,0.5176027222
S16,Streptococcus,0.2294501089,0.0406240155,0.1385338417,0.5050991111
S16,Lactobacillus,0.0000497325,0.0005032417,0.0002709565,0.7727374167
S17,Fusobacterium,0.0809669030,0.0000921561,0.0540086540,0.9885019722
S17,Porphyromonas,0.1971280063,0.0000553698,0.1335561881,0.9259022500
S17,Prevotella,0.0881294721,0.0018555571,0.0528908308,0.3271473333
S17,Streptococcus,0.0988022968,0.0076798468,0.0549285246,0.1650933333
S17,Lactobacillus,0.0000044144,0.0000257942,0.0000148436,0.2238000000
S18,Fusobacterium,0.0290279307,0.0000648729,0.0193735781,0.3794000000
S18,Porphyromonas,0.0961625101,0.0000220106,0.0651494458,0.6709742500
S18,Prevotella,0.0858028465,0.0044691817,0.0525820538,0.3237827778
S18,Streptococcus,0.3168219975,0.0536445106,0.1901069113,0.6695706667
S18,Lactobacillus,0.0000069430,0.0002170966,0.0001094570,0.6169293333
S19,Fusobacterium,0.0611544416,0.0000114073,0.0407734302,0.7977149722
S19,Porphyromonas,0.1538060016,0.0000149335,0.1041959796,0.8291393333
S19,Prevotella,0.1249496167,0.0026908599,0.0750129414,0.4643608333
S19,Streptococcus,0.1828043548,0.0031188396,0.0962891067,0.3520000000
S19,Lactobacillus,0.0000054810,0.0000678978,0.0000359282,0.3692604722
S20,Fusobacterium,0.0609766428,0.0010075405,0.0409869420,0.8016000000
S20,Porphyromonas,0.0505500456,0.0004448140,0.0343870677,0.4974554444
S20,Prevotella,0.1698721168,0.0596111673,0.1248359543,0.6869213333
S20,Streptococcus,0.1254543300,0.0004590986,0.0652714408,0.2224872778
S20,Lactobacillus,0.0000025842,0.0000081246,0.0000052868,0.1306714444
S21,Fusobacterium,0.0156025821,0.0000248693,0.0104100111,0.0625902222
S21,Porphyromonas,0.0142560224,0.0000630665,0.0096776495,0.3026842500
S21,Prevotella,0.0526736791,0.0004431143,0.0313400681,0.2009000000
S21,Streptococcus,0.4071893011,0.0098100458,0.2158585486,0.7366383333
S21,Lactobacillus,0.0000522706,0.0001167035,0.0000837013,0.5552100000
S22,Fusobacterium,0.0544260066,0.0007114734,0.0365211622,0.7300000000
S22,Porphyromonas,0.1234486403,0.0002129413,0.0836951890,0.7572533333
S22,Prevotella,0.0815078069,0.0164919559,0.0549520368,0.3427606111
S22,Streptococcus,0.2511055533,0.3578194759,0.3024863309,0.8747304167
S22,Lactobacillus,0.0000042966,0.0000437742,0.0000235540,0.2859447222
S23,Fusobacterium,0.0556667833,0.0000125547,0.0371153738,0.7409429444
S23,Porphyromonas,0.2069337530,0.0000075964,0.1401833799,0.9497266667
S23,Prevotella,0.0483792800,0.0068553478,0.0314188006,0.2013885000
S23,Streptococcus,0.1930968910,0.0195250139,0.1095252465,0.4042536111
S23,Lactobacillus,0.0000010504,0.0000354381,0.0000178249,0.2429365000
S24,Fusobacterium,0.0384149050,0.0000024083,0.0256107394,0.5281601667
S24,Porphyromonas,0.1591124424,0.0000115608,0.1077895773,0.8482110556
S24,Prevotella,0.0754069563,0.0001052983,0.0446499410,0.2856878333
S24,Streptococcus,0.2691624853,0.0198112912,0.1491045029,0.5381420833
S24,Lactobacillus,0.0000227978,0.0000749579,0.0000482418,0.4249615278
S25,Fusobacterium,0.0299078849,0.0000002350,0.0199386682,0.3980000000
S25,Porphyromonas,0.0100720595,0.0000027984,0.0068239107,0.2479788889
S25,Prevotella,0.3076323845,0.0000013829,0.1819802853,0.8606082778
S25,Streptococcus,0.1682381759,0.0000767174,0.0872715478,0.3201394444
S25,Lactobacillus,0.0002157299,0.0000083891,0.0001145880,0.6242000000
S26,Fusobacterium,0.0512389404,0.0033162271,0.0352647027,0.7072260556
S26,Porphyromonas,0.0845630742,0.0008081372,0.0575453526,0.6357306944
S26,Prevotella,0.1056767718,0.0297287743,0.0746557587,0.4635221667
S26,Streptococcus,0.2673025638,0.0317771830,0.1539014545,0.5548000000
S26,Lactobacillus,0.0000089710,0.0000494446,0.0000287142,0.3236006667
S27,Fusobacterium,0.0512012135,0.0000068700,0.0341364323,0.6873000000
